Gen#	Conn.	MW
1	1	140.771
2	2	24.2291
T.line#	From	To	From MW	To MW
1	1	2	-98.7215	98.7215
2	1	3	-42.0494	42.0494
3	2	3	-23.1585	23.1585
4	2	4	-26.5281	26.5281
5	2	5	-53.264	53.264
6	3	4	-20.2078	20.2078
7	4	5	-6.73595	6.73595
T.line#	Contingency Scenario	From	To	From MW	To MW
1	1	1	2	-106.3	106.3
1	2	1	2	-100.131	100.131
2	1	1	3	-34.4714	34.4714
2	2	1	3	-40.64	40.64
3	1	2	3	-10.5286	10.5286
3	2	2	3	-20.8098	20.8098
4	1	2	4	-40	40
4	2	2	4	-23.5501	23.5501
5	1	2	5	-60	60
5	2	2	5	-60	60
6	1	3	4	0	0
6	2	3	4	-16.4499	16.4499
7	1	4	5	-3.60199e-06	3.60199e-06
7	2	4	5	0	0
