Gen#	Conn.	MW
1	1	143.135
2	2	29.8649
T.line#	From	To	From MW	To MW
1	1	2	-100	100
2	1	3	-43.1353	43.1353
3	2	3	-24.1815	24.1815
4	2	4	-28.2333	28.2333
5	2	5	-57.45	57.45
6	3	4	-24.3167	24.3167
7	4	5	-7.55001	7.55001
T.line#	Contingency Scenario	From	To	From MW	To MW
1	1	1	2	-109.118	109.118
1	2	1	2	-101.58	101.58
2	1	1	3	-34.0172	34.0172
2	2	1	3	-41.5555	41.5555
3	1	2	3	-8.98278	8.98278
3	2	2	3	-21.5475	21.5475
4	1	2	4	-44.4441	44.4441
4	2	2	4	-24.897	24.897
5	1	2	5	-65.5561	65.5561
5	2	2	5	-65.0001	65.0001
6	1	3	4	0	0
6	2	3	4	-20.103	20.103
7	1	4	5	0.555961	-0.555961
7	2	4	5	0	0
