

*** APMP ALGORITHM BASED LASCOPF FOR LOAD (DEMAND) VARIATION TRACKING SIMULATION (SERIAL IMPLEMENTATION) BEGINS ***




*** SIMULATION IN PROGRESS; PLEASE DON'T CLOSE ANY WINDOW OR OPEN ANY OUTPUT FILE YET ... ***




Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
0	1.78394
1	1.15959
2	0.901359
3	0.610428
4	0.414823
5	0.517228
6	0.794223
7	1.11783
8	0.83842
9	0.514291
10	0.270203
11	0.358413
12	0.097599
13	0.271073
14	0.519597
15	0.554683
16	0.480161
17	0.449037
18	0.425571
19	0.411158
20	0.405961
21	0.400953
22	0.359183
23	0.338701
24	0.287107
25	0.267896
26	0.269808
27	0.235114
28	0.193027
29	0.136423
30	0.0633328
31	0.0446712
32	0.048293
33	0.0344827
34	0.0161731
35	0.0111174
36	0.0121205
37	0.00875644
38	0.00413815
39	0.00276775
40	0.00304101
41	0.0022235
42	0.00105988
43	0.000689476
44	0.000762898
45	0.000564427
46	0.000271359
47	0.000171795
48	0.000191348
49	0.000143254
50	6.94912e-05
51	4.28264e-05
52	4.7984e-05
53	3.63521e-05
54	1.77989e-05
55	1.0682e-05
56	1.20306e-05
57	9.22316e-06
58	4.55947e-06
59	2.66601e-06
60	2.10665e-06
61	1.16217e-06
62	8.11963e-07
63	7.67628e-07
64	5.5145e-07
65	2.94402e-07
66	2.02156e-07
67	1.93067e-07
68	1.39567e-07
69	7.41885e-08
70	5.03453e-08
71	4.85632e-08
72	3.53374e-08
73	1.87111e-08
74	1.25329e-08
75	1.22135e-08
76	8.95063e-09
77	4.7235e-09
78	3.11822e-09
79	3.07067e-09
80	2.26765e-09
81	1.19355e-09
82	7.75792e-10
83	7.72027e-10
84	5.75174e-10
85	3.02901e-10
86	1.93266e-10
87	1.94162e-10
88	1.45867e-10
89	7.66057e-11
90	6.31064e-11
91	9.72043e-11
92	8.51211e-11
93	4.18944e-11
94	1.59654e-11
95	3.35124e-11
96	3.21422e-11
97	1.77901e-11
98	3.42952e-12
99	6.57174e-12

Execution time (s): 70.8144
