Gen#	Conn.	MW
1	1	85.9355
2	4	58.1851
3	6	52.964
4	8	1.08429
5	10	98.9052
6	12	104.069
7	15	47.3668
8	18	41.2188
9	19	55.9281
10	24	1.61899e-06
11	25	128.884
12	26	148.483
13	27	18.5312
14	31	7.99168
15	32	20
16	34	50.4054
17	36	52.481
18	40	29.3968
19	42	15
20	46	15.0214
21	49	164.923
22	54	53.4957
23	55	44.8352
24	56	41.7225
25	59	195.432
26	61	155.478
27	62	38.4466
28	65	242.236
29	66	299.286
30	69	336.474
31	70	5.4984
32	72	5.04172e-06
33	73	3.48464
34	74	13.9244
35	76	11.8225
36	77	6.88493
37	80	358.722
38	85	4.15265
39	87	4.04243
40	89	319.05
41	90	3.72059
42	91	3.67652
43	92	3.81824
44	99	2.89958
45	100	194.083
46	103	36.9523
47	104	3.17157
48	105	3.16753
49	107	3.16444
50	110	3.15256
51	111	34.0106
52	112	3.1498
53	113	38.632
54	116	1.1468
T.line#	From	To	From MW	To MW
1	1	2	-15.3765	15.3765
2	1	3	-19.9633	19.9633
3	2	12	4.37991	-4.37991
4	3	5	21.2284	-21.2284
5	3	12	-2.54145	2.54145
6	4	5	-2.31812	2.31812
7	4	11	-26.1459	26.1459
8	5	6	-44.6429	44.6429
9	8	5	-100	100
10	5	11	-36.7675	36.7675
11	6	7	-45.891	45.891
12	7	12	-27.0942	27.0942
13	8	9	98.9364	-98.9364
14	8	30	-0.0521085	0.0521085
15	9	10	98.9208	-98.9208
16	11	12	35.7281	-35.7281
17	11	13	-28.9489	28.9489
18	12	14	-13.7481	13.7481
19	12	16	-13.6003	13.6003
20	12	117	-19.8633	19.8633
21	13	15	4.886	-4.886
22	14	15	0.0729664	-0.0729664
23	15	17	41.5244	-41.5244
24	15	19	10.1502	-10.1502
25	15	33	-4.33861	4.33861
26	16	17	11.2261	-11.2261
27	17	18	-25.0604	25.0604
28	30	17	-100	100
29	17	31	-32.2148	32.2148
30	17	113	20.7729	-20.7729
31	18	19	-6.41663	6.41663
32	19	20	-14.1162	14.1162
33	19	34	6.72592	-6.72592
34	20	21	3.79589	-3.79589
35	21	22	17.715	-17.715
36	22	23	27.6416	-27.6416
37	23	24	-5.5239	5.5239
38	23	25	93.8519	-93.8519
39	23	32	-53.7905	53.7905
40	24	70	-3.12053	3.12053
41	24	72	-2.46084	2.46084
42	26	25	-48.5576	48.5576
43	25	27	-83.6847	83.6847
44	26	30	-100	100
45	27	28	-23.0549	23.0549
46	27	32	-1.14769	1.14769
47	27	115	-16.1737	16.1737
48	28	29	-6.13741	6.13741
49	29	31	17.7776	-17.7776
50	30	38	-0.0404797	0.0404797
51	31	32	20.4223	-20.4223
52	32	113	17.9631	-17.9631
53	32	114	-13.6654	13.6654
54	33	37	18.5881	-18.5881
55	34	36	-10.9007	10.9007
56	34	37	45.8358	-45.8358
57	34	43	-19.6728	19.6728
58	35	36	32.4209	-32.4209
59	35	37	0.554673	-0.554673
60	38	37	-100	100
61	37	39	-22.3941	22.3941
62	37	40	-12.6931	12.6931
63	38	65	100	-100
64	39	40	4.58147	-4.58147
65	40	41	-22.2986	22.2986
66	40	42	4.75168	-4.75168
67	41	42	14.6867	-14.6867
68	42	49	20.7124	-20.7124
