Gen#	Conn.	MW
1	1	78.9804
2	4	31.2649
3	6	79.6985
4	8	11.2394
5	10	78.9643
6	12	81.9182
7	15	78.5393
8	18	72.4338
9	19	35.9146
10	24	2.99789e-09
11	25	109.516
12	26	124.943
13	27	4.69826e-09
14	31	1.77876e-07
15	32	-5.43834e-08
16	34	21.54
17	36	23.8082
18	40	15.011
19	42	1.44508e-06
20	46	0.00837954
21	49	150.525
22	54	39.7055
23	55	22.0927
24	56	28.4512
25	59	196.271
26	61	140.785
27	62	57.7793
28	65	227.398
29	66	284.458
30	69	321.683
31	70	3.88207e-07
32	72	2.48945e-07
33	73	3.78657e-07
34	74	1.1509e-07
35	76	8.27671e-09
36	77	7.06052e-09
37	80	349.262
38	85	1.39071e-07
39	87	4.06885e-09
40	89	309.555
41	90	1.36498e-07
42	91	3.33011e-07
43	92	2.73269e-06
44	99	3.88467e-06
45	100	184.374
46	103	27.2926
47	104	4.63014e-06
48	105	4.63171e-06
49	107	4.63286e-06
50	110	4.63472e-06
51	111	24.3367
52	112	4.63584e-06
53	113	28.1248
54	116	4.0273e-08
T.line#	From	To	From MW	To MW
1	1	2	-12.9945	12.9945
2	1	3	-19.7195	19.7195
3	2	12	2.17728	-2.17728
4	3	5	15.9317	-15.9317
5	3	12	-1.40744	1.40744
6	4	5	21.7547	-21.7547
7	4	11	-27.8065	27.8065
8	5	6	-7.2053	7.2053
9	8	5	-76.6444	76.6444
10	5	11	-31.48	31.48
11	6	7	-39.691	39.691
12	7	12	-25.5326	25.5326
13	8	9	78.7452	-78.7452
14	8	30	-13.1213	13.1213
15	9	10	78.8547	-78.8547
16	11	12	29.1283	-29.1283
17	11	13	-23.1442	23.1442
18	12	14	-8.64306	8.64306
19	12	16	-11.3378	11.3378
20	12	117	-15.104	15.104
21	13	15	6.00625	-6.00625
22	14	15	0.499408	-0.499408
23	15	17	30.4932	-30.4932
24	15	19	-0.793974	0.793974
25	15	33	-16.4715	16.4715
26	16	17	8.80847	-8.80847
27	17	18	-5.1701	5.1701
28	30	17	-87.4752	87.4752
29	17	31	-40.1055	40.1055
30	17	113	3.40769	-3.40769
31	18	19	-22.4495	22.4495
32	19	20	-10.4285	10.4285
33	19	34	-8.52744	8.52744
34	20	21	2.67488	-2.67488
35	21	22	11.7792	-11.7792
36	22	23	16.8853	-16.8853
