Gen#	Conn.	MW
1	1	100
2	4	100
3	6	52.877
4	8	20.1976
5	10	99.9733
6	12	116.578
7	15	45.0586
8	18	38.8514
9	19	56.892
10	24	20.9706
11	25	129.569
12	26	158.082
13	27	20.9908
14	31	21.0365
15	32	20.9998
16	34	93.7715
17	36	95.7549
18	40	27.9141
19	42	15.5505
20	46	15.8128
21	49	165.009
22	54	53.9284
23	55	77.1054
24	56	42.0608
25	59	226.618
26	61	156.149
27	62	36.8911
28	65	243.182
29	66	300.234
30	69	337.332
31	70	15.9913
32	72	15.9805
33	73	15.9895
34	74	15.9934
35	76	15.9939
36	77	15.9929
37	80	359.649
38	85	11.009
39	87	11.0374
40	89	319.996
41	90	11.0101
42	91	11.0006
43	92	21.9259
44	99	10.9915
45	100	194.965
46	103	37.9222
47	104	10.9913
48	105	10.9914
49	107	10.9914
50	110	10.9916
51	111	34.9837
52	112	10.9916
53	113	39.7386
54	116	11.0648
T.line#	From	To	From MW	To MW
1	1	2	-20.7677	20.7677
2	1	3	-23.6776	23.6776
3	2	12	3.95044	-3.95044
4	3	5	25.011	-25.011
5	3	12	-5.08571	5.08571
6	4	5	-26.8829	26.8829
7	4	11	-38.4539	38.4539
8	5	6	-56.007	56.007
9	8	5	-100	100
10	5	11	-46.2582	46.2582
11	6	7	-52.2255	52.2255
12	7	12	-28.4717	28.4717
13	8	9	100	-100
14	8	30	-20.4176	20.4176
15	9	10	99.9866	-99.9866
16	11	12	27.0015	-27.0015
17	11	13	-37.0927	37.0927
18	12	14	-21.9074	21.9074
19	12	16	-21.1847	21.1847
20	12	117	-24.8347	24.8347
21	13	15	1.69954	-1.69954
22	14	15	-3.12854	3.12854
23	15	17	36.2656	-36.2656
24	15	19	8.63426	-8.63426
25	15	33	3.26177	-3.26177
26	16	17	8.58983	-8.58983
27	17	18	-27.7682	27.7682
28	30	17	-100	100
29	17	31	-32.6009	32.6009
30	17	113	20.8063	-20.8063
31	18	19	-1.82699	1.82699
32	19	20	-20.0881	20.0881
33	19	34	19.7384	-19.7384
34	20	21	2.78695	-2.78695
35	21	22	21.6674	-21.6674
36	22	23	36.5537	-36.5537
37	23	24	14.3967	-14.3967
38	23	25	96.5879	-96.5879
39	23	32	-62.6069	62.6069
40	24	70	-8.33153	8.33153
41	24	72	1.64283	-1.64283
42	26	25	-58.1836	58.1836
43	25	27	-91.3072	91.3072
44	26	30	-100	100
45	27	28	-26.5556	26.5556
46	27	32	-0.610936	0.610936
47	27	115	-18.3891	18.3891
48	28	29	-4.69138	4.69138
49	29	31	24.1649	-24.1649
50	30	38	-20.6012	20.6012
51	31	32	18.2839	-18.2839
52	32	113	19.1038	-19.1038
53	32	114	-21.349	21.349
54	33	37	31.2183	-31.2183
55	34	36	7.26193	-7.26193
56	34	37	18.3069	-18.3069
57	34	43	-35.4525	35.4525
58	35	36	52.3913	-52.3913
59	35	37	-14.3098	14.3098
60	38	37	-100	100
61	37	39	-38.4788	38.4788
62	37	40	-26.1508	26.1508
63	38	65	79.2259	-79.2259
64	39	40	-6.41215	6.41215
65	40	41	-33.3648	33.3648
66	40	42	-1.99166	1.99166
67	41	42	8.69095	-8.69095
68	42	49	16.6139	-16.6139
69	42	49	16.6139	-16.6139
70	43	44	-12.3975	12.3975
71	44	45	8.62626	-8.62626
72	45	46	22.8683	-22.8683
73	45	49	43.7749	-43.7749
74	46	47	24.3316	-24.3316
75	46	48	15.731	-15.731
76	47	49	31.0852	-31.0852
77	47	69	32.2429	-32.2429
78	48	49	40.7309	-40.7309
79	49	50	-41.1314	41.1314
80	49	51	-50.6741	50.6741
81	49	54	-19.5521	19.5521
82	49	54	-19.4185	19.4185
83	49	66	92.4311	-92.4311
84	49	66	92.4311	-92.4311
85	49	69	21.7125	-21.7125
86	50	57	-19.1325	19.1325
87	51	52	-25.0148	25.0148
88	51	58	-3.65687	3.65687
89	52	53	-2.0115	2.0115
90	53	54	25.9979	-25.9979
91	54	55	-4.17835	4.17835
92	54	56	30.3385	-30.3385
93	54	59	24.9712	-24.9712
94	55	56	-39.9551	39.9551
95	55	59	26.6567	-26.6567
96	56	57	2.13319	-2.13319
97	56	58	-13.3446	13.3446
98	56	59	23.6704	-23.6704
99	56	59	24.8602	-24.8602
100	59	60	23.5814	-23.5814
101	59	61	31.9608	-31.9608
102	63	59	-100	100
