Gen#	Conn.	MW
1	1	79.922
2	4	73.3786
3	6	79.3354
4	8	21.1607
5	10	99.9756
6	12	98.0988
7	15	78.8659
8	18	72.7894
9	19	36.9356
10	24	20.9929
11	25	121.453
12	26	147.769
13	27	20.9652
14	31	21.0071
15	32	20.9639
16	34	61.6622
17	36	63.5683
18	40	21.0697
19	42	16.0689
20	46	21.2374
21	49	151.944
22	54	55.9885
23	55	53.4194
24	56	29.7197
25	59	209.064
26	61	155.451
27	62	58.4939
28	65	228.349
29	66	285.408
30	69	322.657
31	70	16.0431
32	72	16.0168
33	73	16.0387
34	74	16.05
35	76	16.0549
36	77	16.059
37	80	350.176
38	85	11.0595
39	87	11.0556
40	89	310.469
41	90	11.0596
42	91	11.0596
43	92	10.684
44	99	11.0599
45	100	185.337
46	103	28.2228
47	104	11.0597
48	105	11.0597
49	107	11.0597
50	110	11.0596
51	111	25.2685
52	112	11.0596
53	113	29.1956
54	116	11.0642
T.line#	From	To	From MW	To MW
1	1	2	-13.1563	13.1563
2	1	3	-13.8397	13.8397
3	2	12	8.98897	-8.98897
4	3	5	28.2625	-28.2625
5	3	12	-1.10651	1.10651
6	4	5	-9.52452	9.52452
7	4	11	-31.7664	31.7664
8	5	6	-38.9328	38.9328
9	8	5	-100	100
10	5	11	-42.8135	42.8135
11	6	7	-64.1861	64.1861
12	7	12	-42.9896	42.9896
13	8	9	100	-100
14	8	30	-21.4548	21.4548
15	9	10	99.9878	-99.9878
16	11	12	29.2064	-29.2064
17	11	13	-31.7591	31.7591
18	12	14	-16.2285	16.2285
19	12	16	-16.893	16.893
20	12	117	-22.2959	22.2959
21	13	15	4.48037	-4.48037
22	14	15	-0.0034501	0.0034501
23	15	17	36.5327	-36.5327
24	15	19	-3.88275	3.88275
25	15	33	-14.9901	14.9901
26	16	17	10.3396	-10.3396
27	17	18	-13.9005	13.9005
28	30	17	-93.2005	93.2005
29	17	31	-31.0615	31.0615
30	17	113	11.6972	-11.6972
31	18	19	-24.4345	24.4345
32	19	20	-17.1968	17.1968
33	19	34	-0.915683	0.915683
34	20	21	3.1358	-3.1358
35	21	22	19.477	-19.477
36	22	23	31.8276	-31.8276
37	23	24	10.7518	-10.7518
38	23	25	86.7635	-86.7635
39	23	32	-56.4135	56.4135
40	24	70	-10.3681	10.3681
41	24	72	-0.019177	0.019177
42	26	25	-47.9268	47.9268
43	25	27	-82.818	82.818
44	26	30	-100	100
45	27	28	-22.4556	22.4556
46	27	32	-0.0764851	0.0764851
47	27	115	-17.0645	17.0645
48	28	29	-3.11477	3.11477
49	29	31	23.2234	-23.2234
50	30	38	-28.4903	28.4903
51	31	32	16.3774	-16.3774
52	32	113	17.681	-17.681
53	32	114	-17.6223	17.6223
54	33	37	10.3526	-10.3526
55	34	36	-5.66312	5.66312
56	34	37	32.5428	-32.5428
57	34	43	-28.1852	28.1852
58	35	36	35.8837	-35.8837
59	35	37	-0.493696	0.493696
60	38	37	-100	100
61	37	39	-34.0912	34.0912
62	37	40	-23.7424	23.7424
63	38	65	71.3828	-71.3828
64	39	40	-4.6929	4.6929
65	40	41	-27.8662	27.8662
66	40	42	0.675897	-0.675897
67	41	42	11.5486	-11.5486
68	42	49	17.7594	-17.7594
69	42	49	17.7594	-17.7594
70	43	44	-7.77376	7.77376
71	44	45	10.6709	-10.6709
72	45	46	25.0462	-25.0462
73	45	49	41.0684	-41.0684
74	46	47	21.2569	-21.2569
75	46	48	12.9958	-12.9958
76	47	49	24.5973	-24.5973
77	47	69	33.1207	-33.1207
78	48	49	35.4636	-35.4636
79	49	50	-41.6207	41.6207
80	49	51	-51.2676	51.2676
81	49	54	-22.5512	22.5512
82	49	54	-22.397	22.397
83	49	66	94.1554	-94.1554
84	49	66	94.1554	-94.1554
85	49	69	23.5784	-23.5784
86	50	57	-22.1523	22.1523
87	51	52	-24.3861	24.3861
88	51	58	-7.4193	7.4193
89	52	53	-3.91237	3.91237
90	53	54	21.566	-21.566
91	54	55	-9.86633	9.86633
92	54	56	20.6346	-20.6346
93	54	59	25.308	-25.308
94	55	56	-26.5759	26.5759
95	55	59	28.7183	-28.7183
96	56	57	7.68428	-7.68428
97	56	58	-7.05086	7.05086
98	56	59	24.445	-24.445
99	56	59	25.6714	-25.6714
100	59	60	33.378	-33.378
101	59	61	41.0949	-41.0949
102	63	59	-100	100
103	60	61	100	-100
104	60	62	13.8399	-13.8399
105	61	62	-14.4482	14.4482
106	64	61	-0.0434	0.0434
107	62	66	17.2696	-17.2696
108	62	67	3.06978	-3.06978
109	63	64	99.9841	-99.9841
110	64	65	100	-100
111	65	66	4.86415	-4.86415
112	65	68	-61.8887	61.8887
113	66	67	-33.5396	33.5396
114	68	69	16.4892	-16.4892
115	68	81	-89.4813	89.4813
116	68	116	11.0772	-11.0772
117	69	70	-63.9244	63.9244
118	69	75	-92.9837	92.9837
119	69	77	-92.5934	92.5934
120	70	71	32.2037	-32.2037
121	70	74	-31.1685	31.1685
