Gen#	Conn.	MW
1	1	58.994
2	4	57.4086
3	6	53.6525
4	8	3.14206e-08
5	10	78.9254
6	12	77.5027
7	15	47.693
8	18	41.5256
9	19	15.91
10	24	8.1791e-08
11	25	100.774
12	26	127.105
13	27	5.79835e-08
14	31	3.2201e-07
15	32	5.15952e-08
16	34	49.5894
17	36	51.5514
18	40	2.12381e-06
19	42	3.35883e-08
20	46	5.18047
21	49	135.81
22	54	39.9151
23	55	43.8147
24	56	13.0501
25	59	194.82
26	61	139.447
27	62	34.9795
28	65	212.197
29	66	269.251
30	69	306.404
31	70	9.08982e-08
32	72	8.70288e-08
33	73	9.06096e-08
34	74	9.11655e-08
35	76	9.04931e-08
36	77	8.89146e-08
37	80	338.789
38	85	7.37151e-08
39	87	4.21127e-08
40	89	299.117
41	90	7.40613e-08
42	91	7.41012e-08
43	92	5.70644e-07
44	99	7.48015e-08
45	100	174.056
46	103	17.0048
47	104	7.4527e-08
48	105	7.45244e-08
49	107	7.45225e-08
50	110	7.45202e-08
51	111	14.0618
52	112	7.45197e-08
53	113	18.5725
54	116	8.26876e-08
T.line#	From	To	From MW	To MW
1	1	2	-6.141	6.141
2	1	3	-9.17435	9.17435
3	2	12	6.48002	-6.48002
4	3	5	21.6076	-21.6076
5	3	12	0.88621	-0.88621
6	4	5	-1.21973	1.21973
7	4	11	-33.5484	33.5484
8	5	6	-15.8512	15.8512
9	8	5	-75.316	75.316
10	5	11	-38.8902	38.8902
11	6	7	-24.8495	24.8495
12	7	12	-13.2369	13.2369
13	8	9	78.7795	-78.7795
14	8	30	-3.31772	3.31772
15	9	10	78.8524	-78.8524
16	11	12	12.7011	-12.7011
17	11	13	-22.4594	22.4594
18	12	14	-8.36167	8.36167
19	12	16	-9.89936	9.89936
20	12	117	-12.5748	12.5748
21	13	15	4.14625	-4.14625
22	14	15	-1.7533	1.7533
23	15	17	34.6972	-34.6972
24	15	19	-0.959497	0.959497
25	15	33	3.69999	-3.69999
26	16	17	7.70872	-7.70872
27	17	18	-21.2519	21.2519
28	30	17	-98.5698	98.5698
29	17	31	-31.9986	31.9986
30	17	113	0.821817	-0.821817
31	18	19	-10.1441	10.1441
32	19	20	-2.36881	2.36881
33	19	34	13.054	-13.054
34	20	21	8.22932	-8.22932
35	21	22	14.8264	-14.8264
36	22	23	17.4225	-17.4225
37	23	24	3.18013	-3.18013
38	23	25	72.3169	-72.3169
39	23	32	-57.416	57.416
40	24	70	1.70629	-1.70629
41	24	72	1.59547	-1.59547
42	26	25	-48.0804	48.0804
43	25	27	-76.4081	76.4081
44	26	30	-78.9272	78.9272
45	27	28	-15.0455	15.0455
46	27	32	1.92863	-1.92863
47	27	115	-8.5989	8.5989
48	28	29	-5.4486	5.4486
49	29	31	11.1489	-11.1489
50	30	38	16.4585	-16.4585
51	31	32	14.8154	-14.8154
