

*** APMP ALGORITHM BASED LASCOPF FOR LOAD (DEMAND) VARIATION TRACKING SIMULATION (SERIAL IMPLEMENTATION) BEGINS ***




*** SIMULATION IN PROGRESS; PLEASE DON'T CLOSE ANY WINDOW OR OPEN ANY OUTPUT FILE YET ... ***




Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
0	10.7731
1	7.02083
2	4.99246
3	4.75078
4	4.97986
5	4.83256
6	4.44952
7	3.3653
8	2.84492
9	2.73265
10	2.68814
11	2.5642
12	2.26991
13	2.07766
14	1.88415
15	1.73454
16	1.62763
17	1.60724
18	1.58099
19	1.62394
20	1.65104
21	1.62205
22	1.55136
23	1.62521
24	1.67941
25	1.77123
26	1.84098
27	1.96349
28	2.0275
29	2.0088
30	1.96064
31	1.97664
32	1.98848
33	1.94275
34	1.86744
35	1.7704
36	1.78955
37	1.76173
38	1.75908
39	1.75893
40	1.81991
41	1.90711
42	2.02427
43	2.14408
44	2.24765
45	2.36219
46	2.46844
47	2.56163
48	2.65498
49	2.747
50	2.76439
51	2.78012
52	2.75994
53	2.73209
54	2.75135
55	2.77396
56	2.78575
57	2.77144
58	2.76023
59	2.687
60	2.55964
61	2.51545
62	2.43938
63	2.34867
64	2.19239
65	2.14849
66	2.14147
67	2.12077
68	2.12315
69	2.11885
70	2.10502
71	2.10322
72	2.10163
73	2.12542
74	2.14888
75	2.17297
76	2.20332
77	2.24747
78	2.29975
79	2.34419
80	2.39676
81	2.42957
82	2.46116
83	2.44319
84	2.42954
85	2.44118
86	2.44475
87	2.42396
88	2.3902
89	2.35732
90	2.3199
91	2.30205
92	2.29586
93	2.28552
94	2.27034
95	2.25451
96	2.24776
97	2.24695
98	2.25313
99	2.2604
100	2.27464
101	2.29136
102	2.30323
103	2.28749
104	2.28756
105	2.29092
106	2.28376
107	2.27932
108	2.2621
109	2.25245
110	2.23952
111	2.24432
112	2.24456
113	2.26049
114	2.27069
115	2.29
116	2.30222
117	2.31691
118	2.32409
119	2.32859
120	2.3271
121	2.32317
122	2.31667
123	2.30855
124	2.30392
125	2.29561
126	2.29146
127	2.29108
128	2.28869
129	2.29205
130	2.29349
131	2.29783
132	2.30061
133	2.30635
134	2.3105
135	2.31649
136	2.32007
137	2.32807
138	2.33025
139	2.33633
140	2.338
141	2.34078
142	2.34119
143	2.34184
144	2.34088
145	2.33976
146	2.33924
147	2.33567
148	2.33365
149	2.33262
150	2.32957
151	2.32922
152	2.32716
153	2.32763
154	2.32638
155	2.32859
156	2.32808
157	2.33169
158	2.33215
159	2.3365
160	2.33803
161	2.34279
162	2.34566
163	2.35079
164	2.35541
165	2.35839
166	2.36258
167	2.36714
168	2.37107
169	2.37559
170	2.37972
171	2.38227
172	2.38564
173	2.38627
174	2.38844
175	2.38721
176	2.38839
177	2.38722
178	2.38832
179	2.38799
180	2.38923
181	2.38924
182	2.39078
183	2.39208
184	2.39412
185	2.39715
186	2.39984
187	2.40446
188	2.40786
189	2.41361
190	2.41758
191	2.42453
192	2.4291
193	2.43742
194	2.44228
195	2.45125
196	2.457
197	2.46435
198	2.46911
199	2.47559
200	2.47931
201	2.48254
202	2.48433
203	2.48539
204	2.48641
205	2.4865
206	2.48642
207	2.4863
208	2.48545
209	2.4855
210	2.48443
211	2.48464
212	2.48394
213	2.48325
214	2.48307
215	2.48064
216	2.48089
217	2.47819
218	2.47884
219	2.4769
220	2.4822
221	2.47682
222	2.48067
223	2.48133
224	2.48417
225	2.48436
226	2.48755
227	2.4855
228	2.48813
229	2.48621
230	2.48807
231	2.48808
232	2.49057
233	2.49292
234	2.49625
235	2.49967
236	2.50337
237	2.50672
238	2.5102
239	2.51261
240	2.5155
241	2.51732
242	2.51945
243	2.52108
244	2.52262
245	2.52411
246	2.52531
247	2.5266
248	2.52757
249	2.52836
250	2.52923
251	2.52953
252	2.53036
253	2.53029
254	2.53116
255	2.53093
256	2.53194
257	2.53176
258	2.53225
259	2.53177
260	2.53224
261	2.53161
262	2.53202
263	2.53124
264	2.53171
265	2.53083
266	2.53149
267	2.53058
268	2.5315
269	2.53068
270	2.53183
271	2.53165
272	2.53229
273	2.53264
274	2.53365
275	2.53335
276	2.5343
277	2.53349
278	2.53361
279	2.53299
280	2.53282
281	2.53251
282	2.53226
283	2.53221
284	2.53178
285	2.5318
286	2.53135
287	2.53133
288	2.53085
289	2.53054
290	2.52992
291	2.52914
292	2.52833
293	2.52749
294	2.52643
295	2.52564
296	2.52433
297	2.52345
298	2.52205
299	2.5212
300	2.51995
301	2.51922
302	2.51823
303	2.51761
304	2.51689
305	2.51634
306	2.51586
307	2.51535
308	2.51503
309	2.51452
310	2.51437
311	2.51381
312	2.5138
313	2.51317
314	2.51314
315	2.51242
316	2.51239
317	2.51165
318	2.51172
319	2.51101
320	2.51115
321	2.51045
322	2.51067
323	2.51
324	2.51029
325	2.50968
326	2.51011
327	2.50967
328	2.51028
329	2.50998
330	2.51075
331	2.51061
332	2.51154
333	2.51159
334	2.51265
335	2.51296
336	2.51419
337	2.51435
338	2.51545
339	2.51523
340	2.51612
341	2.51559
342	2.51623
343	2.51551
344	2.51591
345	2.51514
346	2.51533
347	2.51455
348	2.51458
349	2.51385
350	2.51377
351	2.51315
352	2.513
353	2.51255
354	2.5124
355	2.51211
356	2.51204
357	2.51188
358	2.5119
359	2.51178
360	2.51183
361	2.51168
362	2.51173
363	2.51158
364	2.51168
365	2.51159
366	2.51174
367	2.51177
368	2.51193
369	2.51176
370	2.51198
371	2.51159
372	2.51183
373	2.51166
374	2.51169
375	2.51183
376	2.51182
377	2.5124
378	2.51256
379	2.51365
380	2.51412
381	2.51548
382	2.51626
383	2.51772
384	2.51868
385	2.52009
386	2.52123
387	2.52227
388	2.52338
389	2.52452
390	2.52579
391	2.52727
392	2.52864
393	2.53055
394	2.53205
395	2.53437
396	2.53585
397	2.53845
398	2.53977
399	2.54249
400	2.54365
401	2.54639
402	2.54776
403	2.55057
404	2.55227
405	2.55517
406	2.5572
407	2.56028
408	2.56254
409	2.56591
410	2.56827
411	2.57201
412	2.5744
413	2.57854
414	2.58094
415	2.58547
416	2.5879
417	2.59276
418	2.59529
419	2.60036
420	2.6016
421	2.60625
422	2.60687
423	2.61134
424	2.61109
425	2.61492
426	2.61404
427	2.61676
428	2.61611
429	2.618
430	2.61747
431	2.61901
432	2.61841
433	2.61996
434	2.6192
435	2.62096
436	2.62004
437	2.62214
438	2.62112
439	2.62357
440	2.62255
441	2.62527
442	2.6244
443	2.6273
444	2.62668
445	2.62972
446	2.62934
447	2.63255
448	2.63235
449	2.63573
450	2.63563
451	2.63922
452	2.63913
453	2.64293
454	2.64282
455	2.64681
456	2.64667
457	2.65083
458	2.65067
459	2.65496
460	2.65482
461	2.65919
462	2.65907
463	2.66348
464	2.66335
465	2.66779
466	2.66763
467	2.67207
468	2.67186
469	2.67628
470	2.67601
471	2.68039
472	2.68006
473	2.68435
474	2.68388
475	2.68744
476	2.68616
477	2.68906
478	2.68776
479	2.69045
480	2.68912
481	2.69155
482	2.69014
483	2.69231
484	2.69076
485	2.69276
486	2.69083
487	2.6927
488	2.69055
489	2.69243
490	2.69025
491	2.69221
492	2.69009
493	2.69212
494	2.69007
495	2.69216
496	2.69022
497	2.69209
498	2.69015
499	2.69179
500	2.68991
501	2.69141
502	2.68963
503	2.69098
504	2.68928
505	2.69047
506	2.6888
507	2.68978
508	2.68811
509	2.68888
510	2.6872
511	2.68777
512	2.68608
513	2.68646
514	2.68478
515	2.68499
516	2.68334
517	2.68339
518	2.68179
519	2.68168
520	2.68014
521	2.6799
522	2.67841
523	2.67805
524	2.67661
525	2.67614
526	2.67475
527	2.6742
528	2.67285
529	2.67221
530	2.67089
531	2.67019
532	2.66889
533	2.66814
534	2.66687
535	2.66607
536	2.66485
537	2.66403
538	2.66286
539	2.66203
540	2.66091
541	2.66008
542	2.659
543	2.65819
544	2.65715
545	2.65636
546	2.65537
547	2.65461
548	2.65366
549	2.65294
550	2.65203
551	2.65135
552	2.65041
553	2.64982
554	2.64871
555	2.64817
556	2.64707
557	2.6466
558	2.64555
559	2.64519
560	2.64423
561	2.64401
562	2.64312
563	2.64304
564	2.64218
565	2.6422
566	2.64139
567	2.64147
568	2.64067
569	2.64077
570	2.63997
571	2.64007
572	2.63926
573	2.63934
574	2.63853
575	2.63861
576	2.63779
577	2.63788
578	2.63706
579	2.63716
580	2.63634
581	2.63646
582	2.63563
583	2.63577
584	2.63495
585	2.63513
586	2.6343
587	2.6345
588	2.63364
589	2.63387
590	2.63301
591	2.63327
592	2.63237
593	2.63269
594	2.63173
595	2.63214
596	2.63121
597	2.63175
598	2.63091
599	2.63158
600	2.63081
601	2.6316
602	2.63089
603	2.6318
604	2.63114
605	2.63216
606	2.63154
607	2.63267
608	2.63209
609	2.63332
610	2.63276
611	2.63409
612	2.63354
613	2.63488
614	2.63429
615	2.63568
616	2.63502
617	2.63646
618	2.63573
619	2.63721
620	2.63639
621	2.63792
622	2.63702
623	2.6386
624	2.63764
625	2.63928
626	2.63829
627	2.63998
628	2.63899
629	2.64074
630	2.63976
631	2.64157
632	2.64061
633	2.64249
634	2.64156
635	2.64353
636	2.64264
637	2.64469
638	2.64384
639	2.64599
640	2.64519
641	2.64738
642	2.64659
643	2.64862
644	2.64774
645	2.64976
646	2.64876
647	2.65079
648	2.64971
649	2.65172
650	2.65059
651	2.65261
652	2.65146
653	2.65349
654	2.65235
655	2.65437
656	2.65323
657	2.65522
658	2.6541
659	2.65604
660	2.65496
661	2.65686
662	2.65584
663	2.65769
664	2.65673
665	2.65853
666	2.65764
667	2.66088
668	2.6586
669	2.66067
670	2.65989
671	2.66118
672	2.66027
673	2.66178
674	2.66075
675	2.66201
676	2.66079
677	2.66178
678	2.66045
679	2.66121
680	2.65984
681	2.66042
682	2.65904
683	2.65949
684	2.65804
685	2.6584
686	2.65687
687	2.65904
688	2.65568
689	2.65639
690	2.65461
691	2.65466
692	2.65319
693	2.65361
694	2.6559
695	2.65268
696	2.65255
697	2.65486
698	2.65299
699	2.65251
700	2.65219
701	2.65113
702	2.64925
703	2.64967
704	2.64833
705	2.64883
706	2.64745
707	2.64787
708	2.64642
709	2.64675
710	2.64528
711	2.64554
712	2.64417
713	2.6444
714	2.64319
715	2.64342
716	2.64232
717	2.64254
718	2.64145
719	2.64165
720	2.64049
721	2.64066
722	2.63944
723	2.63957
724	2.63833
725	2.63842
726	2.63721
727	2.63729
728	2.63613
729	2.63621
730	2.63513
731	2.63523
732	2.63422
733	2.63436
734	2.6334
735	2.63358
736	2.63267
737	2.6329
738	2.63202
739	2.63231
740	2.63144
741	2.63179
742	2.63094
743	2.63133
744	2.63049
745	2.633
746	2.63127
747	2.63107
748	2.63119
749	2.63028
750	2.62905
751	2.62967
752	2.62882
753	2.62945
754	2.6284
755	2.62896
756	2.6278
757	2.62813
758	2.62687
759	2.62723
760	2.62587
761	2.62628
762	2.62478
763	2.62517
764	2.62344
765	2.62379
766	2.62177
767	2.62209
768	2.61986
769	2.62019
770	2.61785
771	2.61824
772	2.61585
773	2.61635
774	2.614
775	2.61464
776	2.61234
777	2.61313
778	2.61086
779	2.6118
780	2.60955
781	2.61066
782	2.60846
783	2.60975
784	2.60759
785	2.60905
786	2.60696
787	2.60857
788	2.60654
789	2.60831
790	2.60634
791	2.60825
792	2.60633
793	2.60838
794	2.60648
795	2.60853
796	2.60658
797	2.60864
798	2.60662
799	2.60867
800	2.60659
801	2.60863
802	2.60651
803	2.60857
804	2.60645
805	2.60856
806	2.60647
807	2.60865
808	2.6066
809	2.60886
810	2.60689
811	2.60923
812	2.60733
813	2.60973
814	2.6079
815	2.61034
816	2.60857
817	2.61103
818	2.60933
819	2.6118
820	2.61016
821	2.61264
822	2.61105
823	2.61354
824	2.61202
825	2.61451
826	2.61305
827	2.61553
828	2.61414
829	2.61662
830	2.61529
831	2.61775
832	2.61649
833	2.61894
834	2.61777
835	2.62018
836	2.61915
837	2.62151
838	2.62039
839	2.62254
840	2.62129
841	2.62318
842	2.6217
843	2.62331
844	2.62161
845	2.62295
846	2.62109
847	2.62222
848	2.62028
849	2.62128
850	2.61932
851	2.62025
852	2.61831
853	2.61922
854	2.61731
855	2.61823
856	2.61638
857	2.61733
858	2.61552
859	2.6165
860	2.61475
861	2.61578
862	2.61407
863	2.61515
864	2.61348
865	2.61461
866	2.61299
867	2.61417
868	2.61258
869	2.61382
870	2.61226
871	2.61355
872	2.61202
873	2.61336
874	2.61185
875	2.61323
876	2.61173
877	2.61315
878	2.61166
879	2.6131
880	2.61161
881	2.61308
882	2.61159
883	2.61507
884	2.6134
885	2.61364
886	2.613
887	2.61512
888	2.61376
889	2.61529
890	2.61372
891	2.61516
