Gen#	Conn.	MW
1	1	3.42275
2	4	3.42583
3	6	3.42492
4	8	3.27177
5	10	200
6	12	82.9994
7	15	3.40327
8	18	3.40195
9	19	3.38587
10	24	3.26791
11	25	209.082
12	26	263.164
13	27	3.26926
14	31	7.16125
15	32	3.26832
16	34	3.38505
17	36	3.38922
18	40	3.304
19	42	3.26923
20	46	19.2159
21	49	194.968
22	54	47.6052
23	55	3.39158
24	56	3.37947
25	59	149.416
26	61	153.858
27	62	3.32401
28	65	329.807
29	66	371.485
30	69	418.813
31	70	3.26706
32	72	3.26757
33	73	3.26725
34	74	3.35351
35	76	3.26672
36	77	3.26707
37	80	411.391
38	85	3.26506
39	87	4.10433
40	89	373.427
41	90	3.26455
42	91	3.2646
43	92	3.26484
44	99	3.26508
45	100	239.858
46	103	39.8119
47	104	3.2644
48	105	3.26434
49	107	3.26429
50	110	3.26419
51	111	35.9258
52	112	3.26414
53	113	3.36917
54	116	3.26645
T.line#	From	To	From MW	To MW
1	1	2	13.8964	-13.8964
2	1	3	33.68	-33.68
3	2	12	33.8955	-33.8955
4	3	5	59.8349	-59.8349
5	3	12	12.8445	-12.8445
6	4	5	73.6295	-73.6295
7	4	11	-47.0598	47.0598
8	5	6	-71.9179	71.9179
9	8	5	-264.294	264.294
10	5	11	-58.91	58.91
11	6	7	-23.3441	23.3441
12	7	12	-4.34456	4.34456
13	8	9	199.998	-199.998
14	8	30	61.0249	-61.0249
15	9	10	199.999	-199.999
16	11	12	-17.1722	17.1722
17	11	13	-18.797	18.797
18	12	14	0.0705477	-0.0705477
19	12	16	9.15007	-9.15007
20	12	117	-19.9994	19.9994
21	13	15	15.2034	-15.2034
22	14	15	14.0699	-14.0699
23	15	17	95.2825	-95.2825
24	15	19	6.77939	-6.77939
25	15	33	13.8101	-13.8101
26	16	17	34.1496	-34.1496
27	17	18	-67.3389	67.3389
28	30	17	-197.686	197.686
29	17	31	-4.95523	4.95523
30	17	113	15.043	-15.043
31	18	19	-10.7398	10.7398
32	19	20	15.2797	-15.2797
33	19	34	22.375	-22.375
34	20	21	33.2803	-33.2803
35	21	22	47.281	-47.281
36	22	23	57.2818	-57.2818
37	23	24	37.39	-37.39
38	23	25	127.339	-127.339
39	23	32	-100.446	100.446
40	24	70	16.0675	-16.0675
41	24	72	18.0559	-18.0559
42	26	25	-45.845	45.845
43	25	27	-127.586	127.586
44	26	30	-217.318	217.318
45	27	28	-35.3672	35.3672
46	27	32	-12.975	12.975
47	27	115	-20.5104	20.5104
48	28	29	-18.366	18.366
49	29	31	5.63502	-5.63502
50	30	38	41.3942	-41.3942
51	31	32	36.5203	-36.5203
52	32	113	-11.6748	11.6748
53	32	114	-9.49207	9.49207
54	33	37	36.8117	-36.8117
55	34	36	-15.0075	15.0075
56	34	37	87.0895	-87.0895
57	34	43	5.89922	-5.89922
58	35	36	-12.5993	12.5993
59	35	37	45.5904	-45.5904
60	38	37	-188.599	188.599
61	37	39	-14.4734	14.4734
62	37	40	-4.62922	4.62922
63	38	65	229.995	-229.995
64	39	40	12.529	-12.529
65	40	41	-1.34156	1.34156
66	40	42	25.9422	-25.9422
67	41	42	35.6608	-35.6608
68	42	49	47.6694	-47.6694
69	42	49	47.6694	-47.6694
70	43	44	23.8969	-23.8969
71	44	45	39.8976	-39.8976
72	45	46	38.7172	-38.7172
73	45	49	54.1825	-54.1825
74	46	47	31.551	-31.551
75	46	48	15.9542	-15.9542
76	47	49	13.2683	-13.2683
77	47	69	52.2862	-52.2862
78	48	49	35.957	-35.957
79	49	50	-51.6839	51.6839
80	49	51	-63.891	63.891
81	49	54	-36.4753	36.4753
82	49	54	-36.2244	36.2244
83	49	66	118.386	-118.386
84	49	66	118.386	-118.386
85	49	69	42.295	-42.295
86	50	57	-34.6815	34.6815
87	51	52	-28.3189	28.3189
88	51	58	-18.5706	18.5706
89	52	53	-10.3179	10.3179
90	53	54	12.6826	-12.6826
91	54	55	-6.40286	6.40286
92	54	56	-16.9352	16.9352
93	54	59	28.7158	-28.7158
94	55	56	20.6075	-20.6075
95	55	59	32.5988	-32.5988
96	56	57	22.6805	-22.6805
97	56	58	6.56981	-6.56981
98	56	59	26.8487	-26.8487
99	56	59	28.1941	-28.1941
100	59	60	42.4571	-42.4571
101	59	61	50.7479	-50.7479
102	63	59	-150.728	150.728
103	60	61	113.848	-113.848
104	60	62	6.59588	-6.59588
105	61	62	-17.8937	17.8937
106	64	61	-28.6123	28.6123
107	62	66	37.4325	-37.4325
108	62	67	24.9182	-24.9182
109	63	64	150.727	-150.727
110	64	65	179.335	-179.335
111	65	66	5.35481	-5.35481
112	65	68	74.1705	-74.1705
113	66	67	-52.915	52.915
114	68	69	57.769	-57.769
115	68	81	13.1369	-13.1369
116	68	116	3.26583	-3.26583
117	69	70	-102.266	102.266
118	69	75	-104.394	104.394
119	69	77	-59.8005	59.8005
120	70	71	-11.5232	11.5232
121	70	74	-13.7257	13.7257
122	70	75	1.785	-1.785
123	71	72	-14.7892	14.7892
124	71	73	3.26674	-3.26674
125	74	75	50.9219	-50.9219
126	75	77	33.4932	-33.4932
127	75	118	-38.1789	38.1789
128	76	77	59.5563	-59.5563
129	76	118	5.1781	-5.1781
130	77	78	-45.1793	45.1793
131	77	80	96.6437	-96.6437
132	77	80	44.5483	-44.5483
133	77	82	-5.02801	5.02801
134	78	79	25.8222	-25.8222
135	79	80	64.8239	-64.8239
136	81	80	13.1376	-13.1376
137	80	96	-20.7334	20.7334
138	80	97	-28.0394	28.0394
139	80	98	-17.7937	17.7937
140	80	99	4.33263	-4.33263
141	82	83	23.5984	-23.5984
142	82	96	25.3751	-25.3751
143	83	84	16.6921	-16.6921
144	83	85	26.9082	-26.9082
145	84	85	27.6931	-27.6931
146	85	86	-16.8973	16.8973
147	85	88	36.2	-36.2
148	85	89	56.0358	-56.0358
149	86	87	4.10367	-4.10367
150	88	89	84.2007	-84.2007
151	89	90	-26.7526	26.7526
152	89	90	-50.4403	50.4403
153	89	92	-118.276	118.276
154	89	92	-37.7198	37.7198
155	90	91	-2.45632	2.45632
156	91	92	-5.72024	5.72024
157	92	93	-37.5612	37.5612
158	92	94	-31.9616	31.9616
159	92	100	-8.46609	8.46609
160	92	102	-21.99	21.99
161	93	94	-25.5605	25.5605
162	94	95	-46.3752	46.3752
163	94	96	-25.2315	25.2315
164	94	100	44.0857	-44.0857
165	95	96	-4.37416	4.37416
166	96	97	13.0383	-13.0383
167	98	100	16.2073	-16.2073
168	99	100	1.06822	-1.06822
169	100	101	-5.01145	5.01145
170	100	103	-67.2655	67.2655
171	100	104	-37.0452	37.0452
172	100	106	-40.6386	40.6386
173	101	102	16.9892	-16.9892
174	103	104	-25.4141	25.4141
175	103	105	-31.2226	31.2226
176	103	110	-27.4395	27.4395
177	104	105	-27.7228	27.7228
178	105	106	-12.8153	12.8153
179	105	107	-14.2834	14.2834
180	105	108	-4.10961	4.10961
181	106	107	-10.4531	10.4531
182	108	109	-2.10902	2.10902
183	109	110	5.89156	-5.89156
184	110	111	35.9254	-35.9254
185	110	112	-21.7364	21.7364
186	114	115	-1.49132	1.49132
