Gen#	Conn.	MW
1	1	2.12828e-07
2	4	2.1148e-07
3	6	2.11957e-07
4	8	2.12087e-07
5	10	369.697
6	12	70.7413
7	15	2.12028e-07
8	18	2.11996e-07
9	19	2.11986e-07
10	24	2.11828e-07
11	25	182.484
12	26	259.631
13	27	2.11906e-07
14	31	5.81196
15	32	2.11915e-07
16	34	2.1182e-07
17	36	2.11822e-07
18	40	2.11783e-07
19	42	2.11736e-07
20	46	15.782
21	49	169.883
22	54	39.907
23	55	2.11811e-07
24	56	2.11769e-07
25	59	129.368
26	61	133.386
27	62	2.11498e-07
28	65	323.968
29	66	326.097
30	69	427.677
31	70	2.11642e-07
32	72	2.11731e-07
33	73	2.11647e-07
34	74	2.11619e-07
35	76	2.11608e-07
36	77	2.11611e-07
37	80	396.221
38	85	2.11529e-07
39	87	3.32123
40	89	501.235
41	90	2.11504e-07
42	91	2.11504e-07
43	92	2.1151e-07
44	99	2.1152e-07
45	100	209.673
46	103	33.2415
47	104	2.11484e-07
48	105	2.1148e-07
49	107	2.11477e-07
50	110	2.11473e-07
51	111	29.9152
52	112	2.1147e-07
53	113	2.12004e-07
54	116	2.11614e-07
T.line#	From	To	From MW	To MW
1	1	2	51.046	-51.046
3	2	12	71.0769	-71.0769
4	3	5	47.3342	-47.3342
5	3	12	-8.31694	8.31694
6	4	5	108.929	-108.929
7	4	11	-78.8918	78.8918
8	5	6	-79.6718	79.6718
9	8	5	-319.992	319.992
10	5	11	-84.0327	84.0327
11	6	7	-27.6337	27.6337
12	7	12	-8.61295	8.61295
13	8	9	369.68	-369.68
14	8	30	-49.6707	49.6707
15	9	10	369.689	-369.689
16	11	12	-63.4599	63.4599
17	11	13	-29.4462	29.4462
18	12	14	-11.2903	11.2903
19	12	16	-1.68514	1.68514
20	12	117	-20.0143	20.0143
21	13	15	4.5643	-4.5643
22	14	15	2.7286	-2.7286
23	15	17	98.7009	-98.7009
24	15	19	-4.51976	4.51976
25	15	33	3.13872	-3.13872
26	16	17	23.333	-23.333
27	17	18	-75.4001	75.4001
28	30	17	-219.049	219.049
29	17	31	-14.3205	14.3205
30	17	113	3.73085	-3.73085
31	18	19	-15.3857	15.3857
32	19	20	10.7356	-10.7356
33	19	34	14.3803	-14.3803
34	20	21	28.7452	-28.7452
35	21	22	42.7541	-42.7541
36	22	23	52.7622	-52.7622
37	23	24	24.9979	-24.9979
38	23	25	128.745	-128.745
39	23	32	-93.9692	93.9692
40	24	70	12.5223	-12.5223
41	24	72	12.4823	-12.4823
42	26	25	-70.998	70.998
43	25	27	-124.727	124.727
44	26	30	-188.624	188.624
45	27	28	-32.2922	32.2922
46	27	32	-10.6072	10.6072
47	27	115	-19.8106	19.8106
48	28	29	-15.2835	15.2835
