Gen#	Conn.	MW
1	1	271.584
2	2	46.8577
T.line#	From	To	From MW	To MW
1	1	2	-183.651	183.651
2	1	5	-87.6783	87.6783
3	2	3	-80.0185	80.0185
4	2	4	-71.733	71.733
5	2	5	-51.4994	51.4994
6	3	4	19.4376	-19.4376
7	4	5	64.3039	-64.3039
8	4	7	-40.0524	40.0524
9	4	9	-23.2656	23.2656
10	5	6	-61.777	61.777
11	6	11	-10.1347	10.1347
12	6	12	-11.2778	11.2778
13	6	13	-23.7191	23.7191
14	7	8	-0.0842244	0.0842244
15	7	9	-39.7146	39.7146
16	9	10	-12.8607	12.8607
17	9	14	-15.1963	15.1963
18	10	11	1.38111	-1.38111
20	13	14	-4.961	4.961
