Gen#	Conn.	MW
1	7	14.5434
2	20	14.5471
3	25	14.5722
4	81	14.5612
5	52	14.5595
6	105	380.809
7	114	157.658
8	115	294.615
9	120	69.2955
10	121	119.081
11	139	1949.46
12	135	243.899
13	144	14.5514
14	173	14.5448
15	178	285.479
16	184	706.27
17	181	85.5573
18	182	220.563
19	187	104.861
20	167	377.763
21	191	219.548
22	195	14.5531
23	161	208.386
24	163	14.5486
25	203	231.722
26	204	85.5575
27	206	203.315
28	171	1216.87
29	205	1216.87
30	212	482.215
31	215	1991.96
32	226	430.505
33	235	276.356
34	241	101.816
35	243	456.862
36	246	254.042
37	249	307.798
38	252	350.389
39	254	304.756
40	256	608.945
41	244	254.042
42	258	558.254
43	257	584.036
44	237	172.879
45	262	85.559
46	4	474.087
47	8	632.249
48	13	1227
49	22	237.809
50	24	377.761
51	32	335.184
52	39	188.099
53	41	416.3
54	59	507.571
55	68	37.7505
56	75	14.6845
57	79	45.8969
58	82	167.805
59	86	406.162
60	89	406.161
61	98	118.065
62	160	1309.88
63	177	710.321
64	201	561.286
65	270	14.5823
66	288	14.5872
67	290	14.5867
68	291	50.9875
69	292	8.17623
T.line#	From	To	From MW	To MW
1	1	2	13.0769	-13.0769
2	2	3	-370.663	370.663
3	4	2	-473.971	473.971
4	1	5	40.7319	-40.7319
5	5	6	-90.6436	90.6436
6	5	7	-444.5	444.5
7	8	5	-632.143	632.143
8	1	9	-929.514	929.514
9	1	10	-209.022	209.022
10	1	11	-171.792	171.792
11	1	12	49.9473	-49.9473
12	13	1	-1226.92	1226.92
13	9	14	-929.4	929.4
14	10	3	-105.001	105.001
15	3	15	-122.487	122.487
16	10	6	-29.4805	29.4805
17	10	16	-129.089	129.089
18	10	17	54.796	-54.796
19	7	18	-3.45495	3.45495
20	7	19	-397.277	397.277
21	15	18	-26.3515	26.3515
22	20	18	10.2175	-10.2175
23	16	20	-123.419	123.419
24	18	21	-174.031	174.031
25	22	18	-237.717	237.717
26	16	23	-383.16	383.16
27	24	16	-377.671	377.671
28	21	25	-115.903	115.903
29	19	26	-237.061	237.061
30	14	26	-245.993	245.993
31	26	27	-226.225	226.225
32	26	28	-62.83	62.83
33	26	29	-34.0136	34.0136
34	26	30	-32.7119	32.7119
35	14	31	-683.168	683.168
36	32	27	-335.02	335.02
37	11	23	82.1786	-82.1786
38	11	33	-253.833	253.833
39	23	25	-468.221	468.221
40	25	34	18.8254	-18.8254
41	25	35	-22.2819	22.2819
42	23	36	244.454	-244.454
43	34	37	99.9472	-99.9472
44	36	37	-55.7197	55.7197
45	37	38	-122.592	122.592
46	39	37	-188.019	188.019
47	36	40	-115.882	115.882
48	41	36	-416.218	416.218
49	38	42	-77.4732	77.4732
50	42	35	-46.8368	46.8368
51	42	43	-2.4787	2.4787
52	44	45	162.992	-162.992
53	44	46	-113.134	113.134
54	44	47	-51.7799	51.7799
55	44	48	57.5247	-57.5247
56	45	31	163.223	-163.223
57	49	50	-88.8543	88.8543
58	50	51	-49.4101	49.4101
59	50	52	-68.4913	68.4913
60	50	53	29.6507	-29.6507
61	49	54	89.1399	-89.1399
62	28	46	-36.8432	36.8432
63	28	47	-23.5806	23.5806
64	28	48	54.3857	-54.3857
65	28	55	-38.5637	38.5637
66	28	29	28.1558	-28.1558
67	28	30	29.015	-29.015
68	28	56	10.7353	-10.7353
69	46	48	80.844	-80.844
70	46	57	-75.201	75.201
71	58	31	-507.126	507.126
72	59	58	-507.349	507.349
73	47	60	-28.8615	28.8615
74	48	31	340.876	-340.876
75	48	55	-24.6473	24.6473
76	48	61	-36.6245	36.6245
77	31	62	-685.64	685.64
78	57	63	-9.09041	9.09041
79	57	60	7.87109	-7.87109
80	57	64	-34.3546	34.3546
81	65	63	-263.612	263.612
82	63	66	-137.512	137.512
83	63	67	23.0964	-23.0964
84	68	63	-37.4905	37.4905
85	65	62	262.043	-262.043
86	65	69	316.825	-316.825
