Gen#	Conn.	MW
1	7	13.7252
2	20	13.7314
3	25	13.7565
4	81	13.7472
5	52	13.7475
6	105	379.789
7	114	156.806
8	115	293.622
9	120	68.7144
10	121	118.316
11	139	1951.77
12	135	242.943
13	144	13.7354
14	173	13.7299
15	178	284.49
16	184	705.324
17	181	84.9047
18	182	219.624
19	187	104.139
20	167	376.748
21	191	218.611
22	195	13.7321
23	161	207.463
24	163	13.732
25	203	230.773
26	204	84.9049
27	206	202.398
28	171	1216.34
29	205	1216.34
30	212	481.2
31	215	1994.58
32	226	429.478
33	235	275.371
34	241	101.102
35	243	455.843
36	246	253.072
37	249	306.798
38	252	349.375
39	254	303.757
40	256	607.96
41	244	253.072
42	258	557.253
43	257	583.043
44	237	172
45	262	84.9044
46	4	473.074
47	8	631.272
48	13	1226.48
49	22	236.85
50	24	376.747
51	32	334.178
52	39	187.2
53	41	415.282
54	59	506.562
55	68	37.3638
56	75	13.834
57	79	45.4514
58	82	166.936
59	86	405.143
60	89	405.143
61	98	117.302
62	160	1309.5
63	177	709.372
64	201	560.286
65	270	13.761
66	288	13.7747
67	290	13.7739
68	291	50.5075
69	292	8.07148
T.line#	From	To	From MW	To MW
1	1	2	-1.7301	1.7301
2	2	3	-384.557	384.557
3	4	2	-472.992	472.992
4	1	5	32.7626	-32.7626
5	5	6	-138.314	138.314
6	5	7	-403.947	403.947
7	8	5	-631.201	631.201
8	1	9	-932.349	932.349
9	1	10	-253.803	253.803
10	1	11	-159.369	159.369
11	1	12	108.324	-108.324
12	13	1	-1226.42	1226.42
13	9	14	-932.284	932.284
14	10	3	-117.228	117.228
15	3	15	-148.644	148.644
16	10	6	18.1991	-18.1991
17	10	16	-154.607	154.607
19	7	18	27.8703	-27.8703
20	7	19	-387.352	387.352
21	15	18	-52.5325	52.5325
22	20	18	14.6162	-14.6162
23	16	20	-119.804	119.804
24	18	21	-163.574	163.574
25	22	18	-236.77	236.77
26	16	23	-411.328	411.328
27	24	16	-376.673	376.673
28	21	25	-105.46	105.46
29	19	26	-227.234	227.234
30	14	26	-255.794	255.794
31	26	27	-227.027	227.027
32	26	28	-63.0875	63.0875
33	26	29	-33.4363	33.4363
34	26	30	-32.4917	32.4917
35	14	31	-676.379	676.379
36	32	27	-334.096	334.096
37	11	23	97.4076	-97.4076
38	11	33	-256.675	256.675
39	23	25	-482.261	482.261
40	25	34	16.5631	-16.5631
41	25	35	-22.8246	22.8246
42	23	36	245.515	-245.515
43	34	37	97.6749	-97.6749
44	36	37	-53.7007	53.7007
45	37	38	-121.987	121.987
46	39	37	-187.132	187.132
47	36	40	-115.867	115.867
48	41	36	-415.216	415.216
49	38	42	-76.8849	76.8849
50	42	35	-46.2798	46.2798
51	42	43	-2.46841	2.46841
52	44	45	181.143	-181.143
53	44	46	-113.977	113.977
54	44	47	-49.2793	49.2793
55	44	48	37.3388	-37.3388
56	45	31	181.25	-181.25
57	49	50	-134.57	134.57
58	50	51	-46.4789	46.4789
59	50	52	-122.748	122.748
60	50	53	34.8531	-34.8531
61	49	54	134.679	-134.679
62	28	46	-24.9929	24.9929
63	28	47	-23.1584	23.1584
64	28	48	26.6398	-26.6398
65	28	55	-37.8975	37.8975
66	28	29	28.9491	-28.9491
67	28	30	30.4431	-30.4431
68	28	56	22.3355	-22.3355
69	46	48	92.923	-92.923
70	46	57	-76.6596	76.6596
71	58	31	-506.387	506.387
72	59	58	-506.474	506.474
73	47	60	-26.2536	26.2536
74	48	31	305.063	-305.063
75	48	55	-24.8632	24.8632
76	48	61	-36.987	36.987
77	31	62	-696.235	696.235
78	57	63	-11.5684	11.5684
79	57	60	8.90212	-8.90212
80	57	64	-34.7751	34.7751
81	65	63	-255.759	255.759
82	63	66	-133.376	133.376
83	63	67	24.0261	-24.0261
84	68	63	-37.2779	37.2779
85	65	62	255.25	-255.25
86	65	69	301.14	-301.14
87	65	70	-300.441	300.441
88	62	71	-440.842	440.842
89	66	72	-47.4824	47.4824
90	66	73	-27.7161	27.7161
91	60	74	23.8344	-23.8344
92	55	61	15.7184	-15.7184
93	75	55	-13.7446	13.7446
94	61	76	-16.0918	16.0918
95	76	77	45.0355	-45.0355
96	64	67	34.3567	-34.3567
97	67	77	68.5549	-68.5549
98	77	78	90.4301	-90.4301
99	79	77	-45.3678	45.3678
100	78	80	42.6609	-42.6609
101	78	81	-20.9296	20.9296
102	82	78	-166.868	166.868
103	80	83	56.7538	-56.7538
104	83	84	274.847	-274.847
105	69	85	301.229	-301.229
106	85	84	-96.8976	96.8976
107	86	84	-405.079	405.079
108	85	87	-180.905	180.905
109	85	88	174.098	-174.098
110	89	85	-405.083	405.083
111	81	87	180.843	-180.843
112	81	90	-145.363	145.363
113	91	92	28.1521	-28.1521
114	93	91	50.6323	-50.6323
115	91	94	22.6438	-22.6438
116	95	96	84.3452	-84.3452
117	95	97	-28.1983	28.1983
118	96	51	20.2836	-20.2836
119	96	72	63.1007	-63.1007
120	98	96	-117.204	117.204
121	51	53	45.1531	-45.1531
122	51	99	-14.0999	14.0999
123	72	70	249.628	-249.628
124	72	52	-22.9733	22.9733
125	72	92	13.2475	-13.2475
126	70	54	-0.00680092	0.00680092
127	70	100	-50.6026	50.6026
128	52	53	48.7997	-48.7997
129	53	101	254.936	-254.936
130	53	102	-10.823	10.823
131	53	103	-11.2017	11.2017
132	53	104	-29.7016	29.7016
133	101	92	-87.5398	87.5398
134	101	105	342.633	-342.633
135	92	94	2.11918	-2.11918
136	102	94	17.3343	-17.3343
137	71	54	-134.83	134.83
138	71	106	-161.101	161.101
139	71	107	-144.705	144.705
140	108	109	108.542	-108.542
141	108	110	-108.454	108.454
142	109	33	167.974	-167.974
143	109	111	-44.2779	44.2779
144	109	112	-14.9848	14.9848
145	33	113	-88.5835	88.5835
146	29	114	39.8868	-39.8868
147	30	115	64.1275	-64.1275
148	114	113	5.73798	-5.73798
149	114	116	-105.04	105.04
150	115	117	-73.4129	73.4129
151	115	118	-140.055	140.055
152	113	116	-22.3808	22.3808
153	116	119	-46.3737	46.3737
154	116	111	-44.3472	44.3472
155	116	117	3.46458	-3.46458
156	120	119	7.26511	-7.26511
157	120	111	-9.10308	9.10308
158	110	74	43.4247	-43.4247
159	110	121	28.573	-28.573
160	110	122	-38.1986	38.1986
161	110	123	-58.477	58.477
162	119	111	-38.9762	38.9762
163	111	124	-58.6427	58.6427
164	117	118	-37.7689	37.7689
165	124	121	-47.3755	47.3755
166	124	125	-2.48923	2.48923
