Gen#	Conn.	MW
1	7	13.7071
2	20	13.7083
3	25	13.7376
4	81	13.7198
5	52	13.7119
6	105	380.18
7	114	157.13
8	115	294.021
9	120	68.9031
10	121	118.593
11	139	1948.42
12	135	243.325
13	144	13.7152
14	173	13.7047
15	178	284.89
16	184	705.532
17	181	85.1253
18	182	219.999
19	187	104.393
20	167	377.14
21	191	218.985
22	195	13.7194
23	161	207.827
24	163	13.7112
25	203	231.153
26	204	85.1256
27	206	202.759
28	171	1215.97
29	205	1215.98
30	212	481.551
31	215	1990.89
32	226	429.865
33	235	275.765
34	241	101.352
35	243	456.207
36	246	253.46
37	249	307.196
38	252	349.772
39	254	304.155
40	256	608.236
41	244	253.46
42	258	557.563
43	257	583.335
44	237	172.339
45	262	85.1255
46	4	473.428
47	8	631.539
48	13	1226.11
49	22	237.238
50	24	377.136
51	32	334.576
52	39	187.552
53	41	415.661
54	59	506.903
55	68	37.4767
56	75	13.8464
57	79	45.5859
58	82	167.269
59	86	405.526
60	89	405.526
61	98	117.577
62	160	1308.97
63	177	709.586
64	201	560.6
65	270	13.744
66	288	13.7507
67	290	13.75
68	291	50.6563
69	292	8.09894
T.line#	From	To	From MW	To MW
1	1	2	20.1823	-20.1823
2	2	3	-362.084	362.084
3	4	2	-473.374	473.374
4	1	5	40.9703	-40.9703
5	5	6	-83.6044	83.6044
6	5	7	-450.831	450.831
7	8	5	-631.501	631.501
8	1	9	-919.502	919.502
9	1	10	-215.573	215.573
10	1	11	-175.592	175.592
11	1	12	43.4958	-43.4958
12	13	1	-1226.09	1226.09
13	9	14	-919.463	919.463
14	10	3	-116.937	116.937
15	3	15	-125.981	125.981
16	10	6	-36.4165	36.4165
17	10	16	-118.639	118.639
18	10	17	56.5071	-56.5071
19	7	18	-5.10922	5.10922
20	7	19	-401.295	401.295
21	15	18	-29.9495	29.9495
22	20	18	10.6329	-10.6329
23	16	20	-123.704	123.704
24	18	21	-178.578	178.578
25	22	18	-237.217	237.217
26	16	23	-372.008	372.008
27	24	16	-377.115	377.115
28	21	25	-120.557	120.557
29	19	26	-241.193	241.193
30	14	26	-239.856	239.856
31	26	27	-226.629	226.629
32	26	28	-61.676	61.676
33	26	29	-33.6118	33.6118
34	26	30	-32.1455	32.1455
35	14	31	-679.492	679.492
36	32	27	-334.494	334.494
37	11	23	75.1524	-75.1524
38	11	33	-250.721	250.721
39	23	25	-463.818	463.818
40	25	34	19.0291	-19.0291
41	25	35	-22.1209	22.1209
42	23	36	243.994	-243.994
43	34	37	100.041	-100.041
44	36	37	-55.8321	55.8321
45	37	38	-122.317	122.317
46	39	37	-187.544	187.544
