Gen#	Conn.	MW
1	7	13.735
2	20	13.7363
3	25	13.7657
4	81	13.7477
5	52	13.7396
6	105	380.192
7	114	157.136
8	115	294.031
9	120	68.9057
10	121	118.597
11	139	1948.46
12	135	243.334
13	144	13.7433
14	173	13.7329
15	178	284.9
16	184	705.553
17	181	85.1286
18	182	220.007
19	187	104.397
20	167	377.152
21	191	218.993
22	195	13.7476
23	161	207.835
24	163	13.7393
25	203	231.161
26	204	85.1288
27	206	202.766
28	171	1216
29	205	1216.01
30	212	481.566
31	215	1990.93
32	226	429.879
33	235	275.774
34	241	101.356
35	243	456.221
36	246	253.469
37	249	307.207
38	252	349.784
39	254	304.165
40	256	608.255
41	244	253.469
42	258	557.58
43	257	583.353
44	237	172.345
45	262	85.1287
46	4	473.443
47	8	631.558
48	13	1226.14
49	22	237.246
50	24	377.148
51	32	334.587
52	39	187.558
53	41	415.675
54	59	506.92
55	68	37.4781
56	75	13.8741
57	79	45.5877
58	82	167.276
59	86	405.54
60	89	405.539
61	98	117.581
62	160	1309
63	177	709.608
64	201	560.618
65	270	13.7715
66	288	13.7783
67	290	13.7777
68	291	50.6583
69	292	8.09925
T.line#	From	To	From MW	To MW
1	1	2	20.5038	-20.5038
2	2	3	-362.778	362.778
3	4	2	-473.389	473.389
4	1	5	40.7282	-40.7282
5	5	6	-83.2868	83.2868
6	5	7	-451.41	451.41
7	8	5	-631.52	631.52
8	1	9	-920.706	920.706
9	1	10	-214.97	214.97
10	1	11	-175.681	175.681
11	1	12	44.0762	-44.0762
12	13	1	-1226.12	1226.12
13	9	14	-920.668	920.668
14	10	3	-116.58	116.58
15	3	15	-126.318	126.318
16	10	6	-36.7342	36.7342
17	10	16	-118.503	118.503
18	10	17	56.935	-56.935
19	7	18	-4.77423	4.77423
20	7	19	-402.236	402.236
21	15	18	-30.2866	30.2866
22	20	18	10.6095	-10.6095
23	16	20	-123.699	123.699
24	18	21	-178.612	178.612
25	22	18	-237.225	237.225
26	16	23	-371.888	371.888
27	24	16	-377.127	377.127
28	21	25	-120.591	120.591
29	19	26	-242.134	242.134
30	14	26	-241.94	241.94
31	26	27	-226.618	226.618
32	26	28	-61.2308	61.2308
33	26	29	-33.3292	33.3292
34	26	30	-31.9092	31.9092
35	14	31	-678.612	678.612
36	32	27	-334.505	334.505
37	11	23	75.1148	-75.1148
38	11	33	-250.773	250.773
39	23	25	-463.749	463.749
40	25	34	19.0345	-19.0345
41	25	35	-22.119	22.119
42	23	36	244.006	-244.006
43	34	37	100.047	-100.047
44	36	37	-55.8329	55.8329
45	37	38	-122.319	122.319
46	39	37	-187.551	187.551
47	36	40	-115.809	115.809
48	41	36	-415.666	415.666
49	38	42	-77.3092	77.3092
50	42	35	-46.8906	46.8906
51	42	43	-2.40613	2.40613
52	44	45	164.056	-164.056
53	44	46	-113.407	113.407
54	44	47	-54.382	54.382
55	44	48	59.1157	-59.1157
56	45	31	164.202	-164.202
57	49	50	-88.1628	88.1628
58	50	51	-49.2551	49.2551
59	50	52	-68.0968	68.0968
60	50	53	29.5994	-29.5994
61	49	54	88.3528	-88.3528
62	28	46	-37.3518	37.3518
63	28	47	-21.5031	21.5031
64	28	48	52.6431	-52.6431
65	28	55	-39.0189	39.0189
66	28	29	27.2618	-27.2618
67	28	30	28.1716	-28.1716
68	28	56	14.2984	-14.2984
69	46	48	81.6988	-81.6988
70	46	57	-77.0595	77.0595
71	58	31	-506.648	506.648
72	59	58	-506.784	506.784
73	47	60	-29.5595	29.5595
74	48	31	341.736	-341.736
75	48	55	-24.7448	24.7448
76	48	61	-36.9918	36.9918
77	31	62	-678.982	678.982
78	57	63	-10.995	10.995
79	57	60	8.06126	-8.06126
80	57	64	-34.7315	34.7315
81	65	63	-259.123	259.123
82	63	66	-135.954	135.954
83	63	67	24.0078	-24.0078
84	68	63	-37.315	37.315
85	65	62	253.19	-253.19
86	65	69	315.526	-315.526
87	65	70	-309.272	309.272
88	62	71	-425.554	425.554
89	66	72	-48.6124	48.6124
90	66	73	-28.9946	28.9946
91	60	74	19.7954	-19.7954
92	55	61	14.919	-14.919
93	75	55	-13.7149	13.7149
94	61	76	-16.7628	16.7628
95	76	77	44.4599	-44.4599
96	64	67	34.5063	-34.5063
