Gen#	Conn.	MW
1	1	24.7312
2	2	38.2641
3	13	10.9929
4	22	17.3252
5	23	5.7843
6	27	-1.14955e-05
T.line#	From	To	From MW	To MW
1	1	2	-11.8348	11.8348
2	1	3	-16.5658	16.5658
3	2	4	-16.179	16.179
4	2	5	-7.0978	7.0978
5	2	6	-11.6146	11.6146
6	3	4	-17.6117	17.6117
7	4	6	-26.0261	26.0261
8	4	12	-5.47646	5.47646
9	5	7	-9.04114	9.04114
10	6	7	-11.0563	11.0563
11	6	8	-30.0334	30.0334
12	6	9	-0.460228	0.460228
13	6	10	-6.11467	6.11467
14	6	28	3.84695	-3.84695
15	8	28	-2.6307	2.6307
16	9	10	-3.34797	3.34797
17	9	11	0.710729	-0.710729
18	10	17	-5.36851	5.36851
19	10	20	-5.51768	5.51768
20	10	21	6.2856	-6.2856
21	10	22	-3.97762	3.97762
22	12	13	12.907	-12.907
23	12	14	-5.66766	5.66766
24	12	15	-4.81712	4.81712
25	12	16	-2.26134	2.26134
26	14	15	-2.19737	2.19737
27	15	18	-3.56668	3.56668
28	15	23	0.518136	-0.518136
29	16	17	-1.33441	1.33441
30	18	19	-2.48834	2.48834
31	19	20	5.13959	-5.13959
32	21	22	21.8221	-21.8221
33	22	24	-2.18471	2.18471
34	23	24	-5.14648	5.14648
35	24	25	-1.43961	1.43961
36	25	26	-2.21602	2.21602
37	25	27	-1.45364	1.45364
38	28	27	-1.55386	1.55386
39	27	29	-3.27065	3.27065
40	27	30	-4.03687	4.03687
41	29	30	-3.70951	3.70951
