Gen#	Conn.	MW
1	1	36.511
2	2	48.8596
3	13	19.6798
4	22	15.823
5	23	9.15251
6	27	9.05023
T.line#	From	To	From MW	To MW
1	1	2	-12.8736	12.8736
2	1	3	-27.4825	27.4825
3	2	4	-24.913	24.913
4	2	5	1.18154	-1.18154
5	2	6	-23.1909	23.1909
6	3	4	-28.5184	28.5184
7	4	6	-42.6773	42.6773
8	4	12	-8.30849	8.30849
10	6	7	-21.2783	21.2783
11	6	8	-31.0915	31.0915
12	6	9	-8.72456	8.72456
13	6	10	-9.29896	9.29896
14	6	28	-0.660046	0.660046
15	8	28	-3.08395	3.08395
16	9	10	-10.563	10.563
17	9	11	0.456501	-0.456501
18	10	17	-5.27688	5.27688
19	10	20	-7.84016	7.84016
20	10	21	1.08408	-1.08408
21	10	22	-4.0297	4.0297
22	12	13	21.33	-21.33
23	12	14	-4.54703	4.54703
24	12	15	-9.31924	9.31924
25	12	16	-4.05699	4.05699
26	14	15	-0.339976	0.339976
27	15	18	-5.45625	5.45625
28	15	23	1.40344	-1.40344
29	16	17	-2.422	2.422
30	18	19	-3.07301	3.07301
31	19	20	6.00867	-6.00867
32	21	22	18.1157	-18.1157
33	22	24	-2.30461	2.30461
34	23	24	-5.68662	5.68662
35	24	25	0.319443	-0.319443
36	25	26	-3.71032	3.71032
37	25	27	3.87852	-3.87852
38	28	27	-5.58159	5.58159
39	27	29	-5.75542	5.75542
40	27	30	-6.05515	6.05515
41	29	30	-3.94936	3.94936
