Gen#	Conn.	MW
1	1	192
2	2	192
3	7	259.5
4	13	206
5	15	66
6	16	54
7	18	251.384
8	21	229.875
9	22	300
10	23	285.459
11	25	192
12	26	192
13	31	184.974
14	37	206
15	39	66
16	40	54
17	42	243.092
18	45	194.335
19	46	221.583
20	47	250
T.line#	From	To	From MW	To MW
1	1	2	-59.8536	59.8536
2	1	3	-59.3346	59.3346
4	2	4	-88.2353	88.2353
5	2	6	-98.3762	98.3762
6	3	9	-36.3396	36.3396
7	3	24	97.682	-97.682
8	4	9	-38.3555	38.3555
9	5	10	47.9195	-47.9195
10	6	10	-6.46548	6.46548
11	7	8	-115.997	115.997
12	8	9	12.0588	-12.0588
13	8	10	-13.0732	13.0732
14	9	11	31.9191	-31.9191
15	9	12	22.4639	-22.4639
16	10	11	84.1148	-84.1148
17	10	12	74.6597	-74.6597
18	11	13	80.7068	-80.7068
19	11	14	35.7292	-35.7292
20	12	13	15.8333	-15.8333
21	12	23	81.6496	-81.6496
22	13	23	67.3514	-67.3514
23	14	16	165.882	-165.882
24	15	16	-71.3704	71.3704
25	15	21	315.793	-315.793
26	15	24	-97.8997	97.8997
27	16	17	240.473	-240.473
28	16	19	-132.521	132.521
29	17	18	95.4081	-95.4081
30	17	22	145.364	-145.364
31	18	21	67.8839	-67.8839
32	19	20	-10.0155	10.0155
33	20	23	76.2032	-76.2032
34	21	22	154.287	-154.287
35	25	26	-6.25116	6.25116
36	25	27	-25.161	25.161
37	25	29	-87.3918	87.3918
38	26	28	-65.6594	65.6594
39	26	30	-67.0097	67.0097
40	27	33	-34.6488	34.6488
41	27	48	71.3247	-71.3247
42	28	33	-15.6251	15.6251
43	29	34	-39.2704	39.2704
44	30	34	25.0356	-25.0356
45	31	32	-100.547	100.547
46	32	33	12.0888	-12.0888
47	32	34	2.46108	-2.46108
48	33	35	32.0305	-32.0305
49	33	36	47.03	-47.03
50	34	35	51.923	-51.923
51	34	36	66.9225	-66.9225
52	35	37	66.3843	-66.3843
53	35	38	18.075	-18.075
54	36	37	31.2014	-31.2014
55	36	47	83.2592	-83.2592
56	37	47	69.8081	-69.8081
57	38	40	148.283	-148.283
58	39	40	-55.3515	55.3515
59	39	45	274.945	-274.945
60	39	48	-71.566	71.566
61	40	41	218.889	-218.889
62	40	43	-112.443	112.443
63	41	42	70.8963	-70.8963
64	41	46	88.627	-88.627
65	42	45	51.6369	-51.6369
66	43	44	10.1195	-10.1195
67	44	47	96.4161	-96.4161
68	45	46	132.659	-132.659
69	7	27	-59.0729	59.0729
70	13	39	1.37363	-1.37363
71	23	41	-59.7814	59.7814
