Gen#	Conn.	MW
1	1	165.295
2	2	85
3	3	24.1054
4	6	36.5345
5	8	338.288
6	9	90
7	12	370
T.line#	From	To	From MW	To MW
1	1	2	21.1449	-21.1449
2	1	15	-54.0622	54.0622
3	1	16	-33.0125	33.0125
4	1	17	-49.0665	49.0665
5	2	3	-63.8588	63.8588
6	3	4	-21.7511	21.7511
7	3	15	-28.805	28.805
8	4	5	-0.828906	0.828906
9	4	6	1.26692	-1.26692
10	4	18	-11.2038	11.2038
11	4	18	-14.4357	14.4357
12	5	6	10.1424	-10.1424
13	6	7	1.4054	-1.4054
14	6	8	44.4162	-44.4162
15	7	8	49.305	-49.305
16	7	29	-49.8547	49.8547
17	8	9	-97.7694	97.7694
18	9	10	-21.2207	21.2207
19	9	11	-16.4343	16.4343
20	9	12	-10.241	10.241
21	9	13	-9.60413	9.60413
22	9	55	-14.7194	14.7194
23	10	12	1.16688	-1.16688
24	10	51	-20.221	20.221
25	11	13	-5.69479	5.69479
26	11	41	-5.92753	5.92753
27	11	43	-7.59311	7.59311
28	12	13	-8.82378	8.82378
29	12	16	-7.77816	7.77816
30	12	17	9.36517	-9.36517
31	13	14	-1.80821	1.80821
32	13	15	13.386	-13.386
33	13	49	-22.6103	22.6103
34	14	15	30.0345	-30.0345
35	14	46	-24.1721	24.1721
36	15	45	-21.7603	21.7603
37	18	19	-1.11608	1.11608
38	19	20	0.250579	-0.250579
39	21	20	-0.61708	0.61708
40	21	22	-0.732919	0.732919
41	22	23	3.50168	-3.50168
42	22	38	-6.27753	6.27753
43	23	24	7.68194	-7.68194
44	24	25	-3.91105	3.91105
45	24	25	-3.76113	3.76113
46	24	26	12.8302	-12.8302
47	25	30	-3.71851	3.71851
48	26	27	11.5462	-11.5462
49	27	28	19.0483	-19.0483
50	28	29	21.835	-21.835
51	29	52	-13.5123	13.5123
52	30	31	-1.87156	1.87156
53	31	32	2.1739	-2.1739
54	32	33	-2.59812	2.59812
55	34	32	-3.96735	3.96735
56	34	35	2.65923	-2.65923
57	35	36	6.67227	-6.67227
58	36	37	4.52636	-4.52636
59	36	40	0.142809	-0.142809
60	37	38	3.0048	-3.0048
61	37	39	-0.475061	0.475061
62	38	44	13.201	-13.201
63	38	48	2.00004	-2.00004
64	38	49	-8.44621	8.44621
65	39	57	-1.81447	1.81447
66	40	56	-1.20203	1.20203
67	41	42	-6.11329	6.11329
68	41	43	7.68832	-7.68832
69	56	41	4.6747	-4.6747
70	56	42	1.09438	-1.09438
71	44	45	23.1598	-23.1598
72	46	47	-25.5684	25.5684
73	47	48	2.06238	-2.06238
74	48	49	2.0023	-2.0023
75	49	50	-14.5112	14.5112
76	50	51	4.41592	-4.41592
77	52	53	-10.4566	10.4566
78	53	54	7.68976	-7.68976
79	54	55	9.89197	-9.89197
80	57	56	2.82174	-2.82174
