Gen#	Conn.	MW
1	1	164.681
2	2	100
3	3	45.5304
4	6	71.3462
5	8	384.587
6	9	100
7	12	384.669
T.line#	From	To	From MW	To MW
1	1	2	39.7949	-39.7949
2	1	15	-68.4759	68.4759
3	1	16	-38.9997	38.9997
4	1	17	-42	42
5	2	3	-57.2052	57.2052
6	3	4	-14.9787	14.9787
7	3	15	-46.7572	46.7572
8	4	5	4.84439	-4.84439
9	4	6	12.0562	-12.0562
10	4	18	-13.9169	13.9169
11	4	18	-17.9624	17.9624
12	5	6	17.8443	-17.8443
13	6	7	3.70491	-3.70491
14	6	8	29.8494	-29.8494
15	7	8	67.1753	-67.1753
16	7	29	-63.4704	63.4704
17	8	9	-137.562	137.562
18	9	10	-27.9898	27.9898
19	9	11	-35.2836	35.2836
20	9	12	-11.5773	11.5773
21	9	13	-23.4788	23.4788
22	9	55	-18.2326	18.2326
23	10	12	10.1739	-10.1739
24	10	51	-33.1635	33.1635
25	11	13	-9.86329	9.86329
26	11	41	-10.3033	10.3033
27	11	43	-15.1169	15.1169
28	12	13	-5.07209	5.07209
29	12	16	-4.0004	4.0004
31	13	14	-9.58762	9.58762
32	13	15	20.277	-20.277
33	13	49	-31.1033	31.1033
34	14	15	40.6215	-40.6215
35	14	46	-39.7092	39.7092
36	15	45	-32.3352	32.3352
37	18	19	-4.67932	4.67932
38	19	20	-1.37906	1.37906
39	21	20	-0.921351	0.921351
40	21	22	0.921863	-0.921863
41	22	23	-5.17851	5.17851
42	22	38	6.10117	-6.10117
43	23	24	1.12241	-1.12241
44	24	25	-7.07798	7.07798
45	24	25	-6.80176	6.80176
46	24	26	15.0027	-15.0027
47	25	30	-7.57929	7.57929
48	26	27	15.003	-15.003
49	27	28	24.303	-24.303
50	28	29	28.903	-28.903
51	29	52	-17.5675	17.5675
52	30	31	-3.97895	3.97895
53	31	32	1.82139	-1.82139
54	32	33	-3.80027	3.80027
55	34	32	-7.22221	7.22221
56	34	35	7.22263	-7.22263
57	35	36	13.2233	-13.2233
58	36	37	14.8793	-14.8793
59	36	40	-1.65541	1.65541
60	37	38	17.5066	-17.5066
61	37	39	-2.62667	2.62667
62	38	44	20.3343	-20.3343
63	38	48	12.3167	-12.3167
64	38	49	4.95819	-4.95819
65	39	57	-2.62625	2.62625
66	40	56	-1.65497	1.65497
67	41	42	-9.49175	9.49175
68	41	43	13.1168	-13.1168
69	56	41	7.62805	-7.62805
70	56	42	2.39153	-2.39153
71	44	45	32.3351	-32.3351
72	46	47	-39.7093	39.7093
73	47	48	-10.0097	10.0097
74	48	49	2.30749	-2.30749
75	49	50	-5.83695	5.83695
76	50	51	15.1634	-15.1634
77	52	53	-12.6675	12.6675
78	53	54	7.33246	-7.33246
79	54	55	11.4325	-11.4325
80	57	56	4.07407	-4.07407
