Gen#	Conn.	MW
1	1	140.199
2	2	86.1824
3	3	43.4255
4	6	83.4563
5	8	487.159
6	9	85.4323
7	12	338.684
T.line#	From	To	From MW	To MW
1	1	2	46.6412	-46.6412
2	1	15	-52.5754	52.5754
3	1	16	-37.2653	37.2653
4	1	17	-41.9999	41.9999
5	2	3	-36.5412	36.5412
6	3	4	17.5968	-17.5968
7	3	15	-56.5642	56.5642
8	4	5	19.0782	-19.0782
9	4	6	30.9098	-30.9098
10	4	18	-14.1409	14.1409
11	4	18	-18.2513	18.2513
12	5	6	32.0779	-32.0779
13	6	7	12.4617	-12.4617
14	6	8	42.0694	-42.0694
15	7	8	84.3697	-84.3697
16	7	29	-71.908	71.908
17	8	9	-210.72	210.72
18	9	10	-41.4271	41.4271
19	9	11	-53.289	53.289
20	9	12	-24.6371	24.6371
21	9	13	-39.7942	39.7942
22	9	55	-16.0042	16.0042
23	10	12	-2.4706	2.4706
24	10	51	-33.956	33.956
25	11	13	-24.2817	24.2817
26	11	41	-11.8457	11.8457
27	11	43	-17.1613	17.1613
28	12	13	16.944	-16.944
29	12	16	-5.73507	5.73507
31	13	14	-14.2825	14.2825
32	13	15	16.3192	-16.3192
33	13	49	-31.1675	31.1675
34	14	15	39.9035	-39.9035
35	14	46	-40.6862	40.6862
36	15	45	-30.9183	30.9183
37	18	19	-5.1925	5.1925
38	19	20	-1.89197	1.89197
39	21	20	-0.409102	0.409102
40	21	22	0.410615	-0.410615
41	22	23	0.152738	-0.152738
42	22	38	0.260252	-0.260252
43	23	24	6.45538	-6.45538
44	24	25	-7.52387	7.52387
45	24	25	-7.23025	7.23025
46	24	26	21.2112	-21.2112
47	25	30	-8.45285	8.45285
48	26	27	21.2121	-21.2121
49	27	28	30.5123	-30.5123
50	28	29	35.1122	-35.1122
51	29	52	-19.7958	19.7958
52	30	31	-4.85194	4.85194
53	31	32	0.948978	-0.948978
54	32	33	-3.80075	3.80075
55	34	32	-7.35124	7.35124
56	34	35	7.35251	-7.35251
57	35	36	13.3545	-13.3545
58	36	37	15.0765	-15.0765
59	36	40	-1.72009	1.72009
60	37	38	17.7575	-17.7575
61	37	39	-2.67908	2.67908
62	38	44	18.9155	-18.9155
63	38	48	8.48388	-8.48388
64	38	49	4.62266	-4.62266
65	39	57	-2.67779	2.67779
66	40	56	-1.71878	1.71878
67	41	42	-9.44191	9.44191
68	41	43	15.161	-15.161
69	56	41	7.56414	-7.56414
70	56	42	2.34137	-2.34137
71	44	45	30.9179	-30.9179
72	46	47	-40.6867	40.6867
73	47	48	-4.9877	4.9877
74	48	49	3.49749	-3.49749
75	49	50	-5.04534	5.04534
76	50	51	15.9556	-15.9556
77	52	53	-14.8958	14.8958
78	53	54	5.10415	-5.10415
79	54	55	9.20415	-9.20415
80	57	56	4.02306	-4.02306
