Gen#	Conn.	MW
1	1	164.686
2	2	99.9999
3	3	45.5323
4	6	71.344
5	8	384.593
6	9	100
7	12	384.671
T.line#	From	To	From MW	To MW
1	1	2	43.0457	-43.0457
2	1	15	-66.0654	66.0654
3	1	16	-36.307	36.307
4	1	17	-50.3592	50.3592
5	2	3	-53.9546	53.9546
6	3	4	-9.04841	9.04841
7	3	15	-49.4387	49.4387
8	4	5	7.731	-7.731
9	4	6	15.8656	-15.8656
10	4	18	-14.2513	14.2513
11	4	18	-18.394	18.394
12	5	6	20.7309	-20.7309
13	6	7	9.75326	-9.75326
14	6	8	30.499	-30.499
15	7	8	60.1619	-60.1619
16	7	29	-50.4087	50.4087
17	8	9	-143.931	143.931
18	9	10	-29.394	29.394
19	9	11	-38.7118	38.7118
20	9	12	-12.0881	12.0881
21	9	13	-26.4457	26.4457
22	9	55	-16.2917	16.2917
23	10	12	10.8473	-10.8473
24	10	51	-35.2411	35.2411
25	11	13	-12.2193	12.2193
26	11	41	-10.7644	10.7644
27	11	43	-15.7279	15.7279
28	12	13	-10.5774	10.5774
29	12	16	-6.69309	6.69309
30	12	17	8.35917	-8.35917
31	13	14	-14.3737	14.3737
32	13	15	17.5786	-17.5786
33	13	49	-34.4468	34.4468
34	14	15	40.1714	-40.1714
35	14	46	-44.0452	44.0452
36	15	45	-35.7545	35.7545
37	18	19	-5.44546	5.44546
38	19	20	-2.14511	2.14511
39	21	20	-0.155496	0.155496
40	21	22	0.15625	-0.15625
41	22	23	-18.8927	18.8927
42	22	38	19.0501	-19.0501
43	23	24	-12.5915	12.5915
44	24	25	-6.42042	6.42042
45	24	25	-6.16986	6.16986
47	25	30	-6.28882	6.28882
48	26	27	1.01101e-05	-1.01101e-05
49	27	28	9.30004	-9.30004
50	28	29	13.9001	-13.9001
51	29	52	-19.5086	19.5086
52	30	31	-2.68773	2.68773
53	31	32	3.11334	-3.11334
54	32	33	-3.80072	3.80072
55	34	32	-8.5155	8.5155
56	34	35	8.51627	-8.51627
57	35	36	14.5174	-14.5174
58	36	37	15.5543	-15.5543
59	36	40	-1.03574	1.03574
60	37	38	17.7316	-17.7316
61	37	39	-2.17627	2.17627
62	38	44	23.7531	-23.7531
63	38	48	18.777	-18.777
64	38	49	8.25391	-8.25391
65	39	57	-2.17554	2.17554
66	40	56	-1.03498	1.03498
67	41	42	-9.96057	9.96057
68	41	43	13.7277	-13.7277
69	56	41	8.23095	-8.23095
70	56	42	2.86012	-2.86012
71	44	45	35.7543	-35.7543
72	46	47	-44.0453	44.0453
73	47	48	-14.3455	14.3455
74	48	49	4.43224	-4.43224
75	49	50	-3.75958	3.75958
76	50	51	17.2409	-17.2409
77	52	53	-14.6085	14.6085
78	53	54	5.39153	-5.39153
79	54	55	9.49159	-9.49159
80	57	56	4.5251	-4.5251
