
The Optimal Objective value (Generation Dispatch cost) is: 49702.6

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	3.03596e-11 MW
1	0 MW
2	12.2726 MW
2	0 MW
3	100 MW
3	0 MW
4	1.46936e-10 MW
4	0 MW
5	3.24521e-11 MW
5	0 MW
6	100 MW
6	1.51795e-11 MW
7	100 MW
7	0 MW
8	100 MW
8	0 MW
9	100 MW
9	0 MW
10	9.32199e-12 MW
10	0 MW
11	100 MW
11	2.13303e-11 MW
12	52.414 MW
12	3.63536e-12 MW
13	89.0229 MW
13	0 MW
14	2.09562e-11 MW
14	9.0697e-12 MW
15	1.54026e-11 MW
15	0 MW
16	5.69342e-11 MW
16	0 MW
17	36.2057 MW
17	0 MW
18	4.56636 MW
18	0 MW
19	75 MW
19	4.52555e-11 MW
20	4.73132 MW
20	7.69393e-12 MW
21	75 MW
21	4.93688e-12 MW
22	75 MW
22	1.60755e-11 MW
23	100 MW
23	25 MW
24	75 MW
24	1.23009e-11 MW
25	153.191 MW
25	78.1913 MW
26	75 MW
26	8.57412e-12 MW
27	75 MW
27	1.19192e-11 MW
28	2.68628e-11 MW
28	75 MW
29	413.592 MW
29	488.592 MW
30	141.444 MW
30	216.444 MW
31	100 MW
31	175 MW
32	100 MW
32	175 MW
33	79.1334 MW
33	154.133 MW
34	100 MW
34	175 MW
35	100 MW
35	175 MW
36	98.7279 MW
36	173.728 MW
37	9.47932 MW
37	59.4793 MW
38	81.7878 MW
38	131.788 MW
39	66.4889 MW
39	116.489 MW
40	195.929 MW
40	245.929 MW
41	56.5356 MW
41	106.536 MW
42	66.7726 MW
42	116.773 MW
43	84.7282 MW
43	134.728 MW
44	6.17347 MW
44	56.1735 MW
45	107.555 MW
45	157.555 MW
46	46.4271 MW
46	96.4271 MW
47	39.1982 MW
47	89.1982 MW
48	37.8365 MW
48	87.8365 MW
49	41.0804 MW
49	91.0804 MW
50	31.8646 MW
50	81.8646 MW
51	30.1192 MW
51	80.1192 MW
52	30.7228 MW
52	80.7228 MW
53	100 MW
53	150 MW
54	1.03874e-10 MW
54	50 MW
Finished writing Power Generation
