
The Optimal Objective value (Generation Dispatch cost) is: -1.13141e+06

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.96751e-15 MW
1	43.2892 MW
1	0 MW
2	100 MW
2	167.174 MW
2	0 MW
3	100 MW
3	163.28 MW
3	0 MW
4	6.78578e-16 MW
4	0 MW
4	100 MW
5	100 MW
5	200 MW
5	0 MW
6	100 MW
6	2.82097e-16 MW
6	200 MW
7	100 MW
7	0 MW
7	200 MW
8	100 MW
8	0 MW
8	200 MW
9	100 MW
9	200 MW
9	50.5138 MW
10	100 MW
10	200 MW
10	0 MW
11	158.444 MW
11	96.5351 MW
11	258.444 MW
12	100 MW
12	3.26107e-16 MW
12	5.9395e-16 MW
13	3.16687e-16 MW
13	0 MW
13	0 MW
14	3.62285e-16 MW
14	1.06392e-16 MW
14	4.03404e-16 MW
15	1.72465e-16 MW
15	0 MW
15	0 MW
16	2.44815e-15 MW
16	0 MW
16	0 MW
17	1.03869e-16 MW
17	0 MW
17	0 MW
18	100 MW
18	200 MW
18	200 MW
19	100 MW
19	175 MW
19	175 MW
20	119 MW
20	194 MW
20	194 MW
21	304 MW
21	379 MW
21	379 MW
22	148 MW
22	223 MW
22	223 MW
23	100 MW
23	175 MW
23	25 MW
24	100 MW
24	175 MW
24	175 MW
25	255 MW
25	330 MW
25	330 MW
26	4.51185e-15 MW
26	19.1105 MW
26	8.75135e-16 MW
27	4.81901e-16 MW
27	2.64524e-16 MW
27	3.86331e-16 MW
28	2.49225e-15 MW
28	5.53174e-16 MW
28	6.16036e-16 MW
29	8.13121e-16 MW
29	5.70295e-16 MW
29	2.6866e-16 MW
30	6.68977e-16 MW
30	1.98445e-16 MW
30	3.60959e-16 MW
31	6.86661e-16 MW
31	8.39321e-16 MW
31	1.11521e-15 MW
32	2.93887e-15 MW
32	1.10301e-15 MW
32	8.68381e-16 MW
33	2.49456 MW
33	8.80058e-16 MW
33	1.44373e-15 MW
34	8.74315e-15 MW
34	2.84224e-14 MW
34	9.37976e-16 MW
35	75 MW
35	1.46157e-15 MW
35	8.05046e-16 MW
36	32.4017 MW
36	2.3954e-16 MW
36	4.23814e-16 MW
37	5.21287e-16 MW
37	50 MW
37	50 MW
38	57.6175 MW
38	107.618 MW
38	107.618 MW
39	37.2052 MW
39	87.2052 MW
39	87.2052 MW
40	235.849 MW
40	285.849 MW
40	285.849 MW
41	56.5131 MW
41	106.513 MW
41	106.513 MW
42	62.2331 MW
42	112.233 MW
42	112.233 MW
43	86.0617 MW
43	136.062 MW
43	136.062 MW
44	100 MW
44	150 MW
44	150 MW
45	213.484 MW
45	263.484 MW
45	263.484 MW
46	47.9203 MW
46	97.9203 MW
46	97.9203 MW
47	34.5144 MW
47	84.5144 MW
47	84.5144 MW
48	33.2504 MW
48	83.2504 MW
48	83.2504 MW
49	36.0591 MW
49	86.0591 MW
49	86.0591 MW
50	24.6471 MW
50	74.6471 MW
50	74.6471 MW
51	23.7528 MW
51	73.7528 MW
51	73.7528 MW
52	24.5501 MW
52	74.5501 MW
52	74.5501 MW
53	100 MW
53	150 MW
53	150 MW
54	100 MW
54	150 MW
54	150 MW
Finished writing Power Generation
