
The Optimal Objective value (Generation Dispatch cost) is: -265318

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	43.2939 MW
1	0 MW
2	100 MW
2	97.3837 MW
3	100 MW
3	0 MW
4	1.16186e-11 MW
4	0 MW
5	100 MW
5	200 MW
6	2.17095e-13 MW
6	8.23962e-14 MW
7	100 MW
7	0 MW
8	100 MW
8	0 MW
9	100 MW
9	200 MW
10	100 MW
10	200 MW
11	246.657 MW
11	346.657 MW
12	3.00213e-13 MW
12	100 MW
13	100 MW
13	200 MW
14	1.45583e-13 MW
14	8.81428e-14 MW
15	3.12582e-14 MW
15	0 MW
16	1.01712e-13 MW
16	0 MW
17	53.6299 MW
17	0 MW
18	8.55754 MW
18	0 MW
19	1.01286e-13 MW
19	6.35952e-14 MW
20	29.2975 MW
20	104.297 MW
21	304 MW
21	229 MW
22	148 MW
22	223 MW
23	100 MW
23	143.435 MW
24	75 MW
24	1.10121e-12 MW
25	75 MW
25	1.24404e-12 MW
26	50.6593 MW
26	5.26038e-13 MW
27	100 MW
27	175 MW
28	100.053 MW
28	175.053 MW
29	285.732 MW
29	360.732 MW
30	62.2592 MW
30	137.259 MW
31	9.86147e-13 MW
31	75 MW
32	3.73967e-13 MW
32	75 MW
33	7.71535e-13 MW
33	75 MW
34	1.79921e-12 MW
34	75 MW
35	4.45918e-12 MW
35	75 MW
36	5.04205 MW
36	80.0421 MW
37	398.465 MW
37	448.465 MW
38	34.8093 MW
38	84.8093 MW
39	26.3197 MW
39	76.3197 MW
40	77.6243 MW
40	127.624 MW
41	34.1879 MW
41	84.1879 MW
42	31.4804 MW
42	81.4804 MW
43	36.2582 MW
43	86.2582 MW
44	32.2851 MW
44	82.2851 MW
45	74.4231 MW
45	124.423 MW
46	40.8435 MW
46	90.8435 MW
47	35.0581 MW
47	85.0581 MW
48	34.3878 MW
48	84.3878 MW
49	37.0956 MW
49	87.0956 MW
50	29.9014 MW
50	79.9014 MW
51	28.567 MW
51	78.567 MW
52	29.1119 MW
52	79.1119 MW
53	100 MW
53	150 MW
54	100 MW
54	150 MW
Finished writing Power Generation
