
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-15.3686 MW
2	Base-Case	-28.6122 MW
3	Base-Case	-35.3686 MW
4	Base-Case	-51.9817 MW
5	Base-Case	-15.6304 MW
6	Base-Case	9.03126 MW
7	Base-Case	47.3155 MW
8	Base-Case	10.3746 MW
9	Base-Case	100 MW
10	Base-Case	46.675 MW
11	Base-Case	58.3746 MW
12	Base-Case	39.3746 MW
13	Base-Case	-2.91206e-12 MW
14	Base-Case	-0.774734 MW
15	Base-Case	-2.75832e-12 MW
16	Base-Case	-3.57551 MW
17	Base-Case	27.5659 MW
18	Base-Case	12.2042 MW
19	Base-Case	5.59604 MW
20	Base-Case	20 MW
21	Base-Case	-6.43406 MW
22	Base-Case	-1.79576 MW
23	Base-Case	-81.0209 MW
24	Base-Case	-19.7658 MW
25	Base-Case	2.5568 MW
26	Base-Case	-19.404 MW
27	Base-Case	22.8111 MW
28	Base-Case	72.0169 MW
29	Base-Case	19.5198 MW
30	Base-Case	-81.7387 MW
31	Base-Case	32.6548 MW
32	Base-Case	5.48208 MW
33	Base-Case	-3.73099 MW
34	Base-Case	-12.5179 MW
35	Base-Case	-26.5179 MW
36	Base-Case	-36.5179 MW
37	Base-Case	-55.4484 MW
38	Base-Case	-42.3 MW
39	Base-Case	54.2305 MW
40	Base-Case	-4.85059 MW
41	Base-Case	-50.5979 MW
42	Base-Case	-9.62765 MW
43	Base-Case	48.0723 MW
44	Base-Case	72.7917 MW
45	Base-Case	35.6856 MW
46	Base-Case	23.8542 MW
47	Base-Case	26.5325 MW
48	Base-Case	18.6856 MW
49	Base-Case	-5.3144 MW
50	Base-Case	5.64029e-07 MW
51	Base-Case	-28.7946 MW
52	Base-Case	-13.1774 MW
53	Base-Case	3.46746 MW
54	Base-Case	-20.4432 MW
55	Base-Case	16.4677 MW
56	Base-Case	-94.1003 MW
57	Base-Case	14.9016 MW
58	Base-Case	-5.24579 MW
59	Base-Case	-27.7542 MW
60	Base-Case	100 MW
61	Base-Case	-16.3603 MW
62	Base-Case	-25.9374 MW
63	Base-Case	-100 MW
64	Base-Case	-43.3603 MW
65	Base-Case	10.6736 MW
66	Base-Case	-16.5807 MW
67	Base-Case	-26.3264 MW
68	Base-Case	-2.45353 MW
69	Base-Case	-2.45353 MW
70	Base-Case	-3.09842 MW
71	Base-Case	-19.0984 MW
72	Base-Case	-23.2134 MW
73	Base-Case	-48.885 MW
74	Base-Case	-29.3265 MW
75	Base-Case	-20.6049 MW
76	Base-Case	-35.5266 MW
77	Base-Case	-27.7998 MW
78	Base-Case	-40.6049 MW
79	Base-Case	29.3032 MW
80	Base-Case	36.9723 MW
81	Base-Case	14.0025 MW
82	Base-Case	13.9062 MW
83	Base-Case	-94.6946 MW
84	Base-Case	-94.6946 MW
85	Base-Case	-16.9827 MW
86	Base-Case	12.3032 MW
87	Base-Case	20.1176 MW
88	Base-Case	-0.145312 MW
89	Base-Case	2.11765 MW
