
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	2.09761
2	2.11392
3	2.11231
4	2.17011
5	2.17568
6	2.13878
7	2.13539
8	2.24119
9	2.24119
10	2.24119
11	2.14266
12	2.13629
13	2.15302
14	2.1648
15	2.27074
16	2.17648
17	2.30828
18	2.28276
19	2.28743
20	2.31726
21	2.35419
22	2.40996
23	2.51729
24	2.68811
25	2.42531
26	2.40671
27	2.31727
28	2.29453
29	2.28548
30	2.36483
31	2.29025
32	2.33542
33	2.35064
34	2.46357
35	2.45647
36	2.45614
37	2.4745
38	2.54971
39	2.49022
40	2.51552
41	2.52985
42	2.61951
43	2.53376
44	2.6804
45	2.74865
46	2.82872
47	2.91833
48	2.85988
49	2.87831
50	2.83036
51	2.77029
52	2.75058
53	2.72522
54	2.73436
55	2.73042
56	2.73413
57	2.76771
58	2.74991
59	2.80143
60	2.89274
61	2.90756
62	2.91025
63	2.90194
64	2.95402
65	3.08501
66	3.05033
67	2.97004
68	3.23887
69	3.38669
70	3.28875
71	3.27516
72	3.08255
73	3.30637
74	3.34293
75	3.35366
76	3.40248
77	3.47816
78	3.47136
79	3.47529
80	3.51408
81	3.33606
82	3.59439
83	3.6497
84	3.74403
85	3.79688
86	3.82987
87	3.92903
88	3.85377
89	3.92766
90	3.90578
91	3.90527
92	3.84781
93	3.77142
94	3.71425
95	3.66029
96	3.61525
97	3.55921
98	3.58956
99	3.7367
100	3.77553
101	3.7895
102	3.82653
103	3.80315
104	3.79622
105	3.79787
106	3.77899
107	3.79726
108	3.81395
109	3.82112
110	3.84617
111	3.8821
112	3.85339
113	2.3343
114	2.31811
115	2.316
116	3.24215
117	2.10829
118	3.36815
Finished writing Internal Node Voltage Phase Angles
