
The Optimal Objective value (Generation Dispatch cost) is: 38291.8

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	6.4819e-12 MW
1	0 MW
2	6.52988e-12 MW
2	0 MW
3	1.34747e-11 MW
3	0 MW
4	6.52876e-12 MW
4	0 MW
5	6.53592e-12 MW
5	6.35007e-12 MW
6	1.41137e-11 MW
6	1.29702e-11 MW
7	6.54737e-12 MW
7	0 MW
8	6.56125e-12 MW
8	0 MW
9	6.57242e-12 MW
9	0 MW
10	6.5295e-12 MW
10	0 MW
11	31.298 MW
11	1.33343e-11 MW
12	63.164 MW
12	6.47862e-12 MW
13	1.45069e-11 MW
13	0 MW
14	6.68234e-12 MW
14	1.41967e-11 MW
15	1.74635e-11 MW
15	0 MW
16	7.24969e-12 MW
16	0 MW
17	6.87344e-12 MW
17	0 MW
18	6.89309e-12 MW
18	0 MW
19	1.9682e-11 MW
19	0 MW
20	8.2324e-11 MW
20	5.02881e-11 MW
21	104.736 MW
21	29.736 MW
22	7.31798e-12 MW
22	7.13933e-12 MW
23	2.59537e-11 MW
23	3.9386e-11 MW
24	7.47543e-12 MW
24	7.13615e-12 MW
25	108.721 MW
25	33.721 MW
26	90.685 MW
26	15.685 MW
27	7.36337e-12 MW
27	7.18194e-12 MW
28	179.807 MW
28	254.807 MW
29	382.648 MW
29	457.648 MW
30	414.279 MW
30	489.279 MW
31	70.8119 MW
31	145.812 MW
32	70.6105 MW
32	145.61 MW
33	70.3706 MW
33	145.371 MW
34	95.8959 MW
34	170.896 MW
35	67.8055 MW
35	142.806 MW
36	72.2472 MW
36	147.247 MW
37	408.428 MW
37	458.428 MW
38	47.0792 MW
38	97.0792 MW
39	48.2803 MW
39	98.2803 MW
40	370.039 MW
40	420.039 MW
41	47.4849 MW
41	97.4849 MW
42	47.4728 MW
42	97.4728 MW
43	47.786 MW
43	97.786 MW
44	48.0839 MW
44	98.0839 MW
45	249.389 MW
45	299.389 MW
46	79.4618 MW
46	129.462 MW
47	47.1066 MW
47	97.1066 MW
48	47.0573 MW
48	97.0573 MW
49	47.1733 MW
49	97.1733 MW
50	47.4227 MW
50	97.4227 MW
51	78.1182 MW
51	128.118 MW
52	47.4388 MW
52	97.4388 MW
53	90.971 MW
53	140.971 MW
54	46.1285 MW
54	96.1285 MW
Finished writing Power Generation
