
The Optimal Objective value (Generation Dispatch cost) is: 31565

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	3.39493e-14 MW
1	0 MW
2	3.40152e-14 MW
2	0 MW
3	4.31329e-14 MW
3	0 MW
4	3.4104e-14 MW
4	0 MW
5	3.71369e-14 MW
5	5.01493e-14 MW
6	4.81821e-14 MW
6	1.80745e-13 MW
7	3.4425e-14 MW
7	0 MW
8	3.42806e-14 MW
8	0 MW
9	3.45841e-14 MW
9	0 MW
10	3.53524e-14 MW
10	0 MW
11	7.46953e-14 MW
11	7.89128e-13 MW
12	3.8044e-14 MW
12	4.95987e-14 MW
13	4.89767e-14 MW
13	0 MW
14	4.14643e-14 MW
14	8.405e-14 MW
15	4.57694e-14 MW
15	0 MW
16	3.91904e-14 MW
16	0 MW
17	3.66172e-14 MW
17	0 MW
18	3.68579e-14 MW
18	0 MW
19	2.04349e-13 MW
19	7.31091e-14 MW
20	9.58841e-10 MW
20	5.33686e-12 MW
21	5.55334e-14 MW
21	6.07802e-14 MW
22	4.65394e-14 MW
22	5.33053e-14 MW
23	2.13485e-13 MW
23	5.91653e-11 MW
24	4.56377e-14 MW
24	5.12451e-14 MW
25	4.55207e-14 MW
25	5.37643e-14 MW
26	2.97989e-12 MW
26	7.07008e-14 MW
27	4.48779e-14 MW
27	5.1945e-14 MW
28	108.796 MW
28	183.796 MW
29	463.011 MW
29	538.011 MW
30	738.624 MW
30	813.624 MW
31	86.1344 MW
31	161.134 MW
32	94.2366 MW
32	169.237 MW
33	68.7315 MW
33	143.732 MW
34	82.5217 MW
34	157.522 MW
35	79.9821 MW
35	154.982 MW
36	75.3713 MW
36	150.371 MW
37	492.621 MW
37	542.621 MW
38	47.7295 MW
38	97.7295 MW
39	47.8132 MW
39	97.8132 MW
40	421.568 MW
40	471.568 MW
41	45.0213 MW
41	95.0213 MW
42	44.5711 MW
42	94.5711 MW
43	48.3895 MW
43	98.3895 MW
44	60.3003 MW
44	110.3 MW
45	194.488 MW
45	244.488 MW
46	59.4954 MW
46	109.495 MW
47	39.3867 MW
47	89.3867 MW
48	44.1138 MW
48	94.1138 MW
49	37.6486 MW
49	87.6486 MW
50	36.7306 MW
50	86.7306 MW
51	47.5922 MW
51	97.5922 MW
52	36.2837 MW
52	86.2837 MW
53	85.8867 MW
53	135.887 MW
54	80.9502 MW
54	130.95 MW
Finished writing Power Generation
